index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.90, 1570.82,       735.37,      4.37,       3.21,          1.72,     452.19, 2000000, 0.47, 1.00, 3.47 
   RMI,       1,     0.91, 1592.75,       738.95,      4.66,       3.52,          1.93,     456.13, 2000000, 0.46, 1.00, 3.49 
   RMI,       2,     0.93, 1614.11,       739.06,      5.13,       4.00,          2.68,     464.11, 2000000, 0.46, 1.00, 3.48 
   RMI,       3,     0.60, 1042.13,       364.23,      6.20,       4.57,          2.06,     298.45, 2000000, 0.35, 1.00, 3.49 
   RMI,       4,     0.94, 1632.58,       763.62,      7.01,       5.72,          2.61,     467.54, 2000000, 0.47, 1.00, 3.49 
   RMI,       5,     0.94, 1640.62,       763.95,      7.78,       6.41,          3.26,     469.92, 2000000, 0.47, 1.00, 3.49 
   RMI,       6,     0.94, 1644.22,       768.91,      8.66,       7.24,          2.95,     470.89, 2000000, 0.47, 1.00, 3.49 
   RMI,       7,     0.98, 1707.59,       779.85,     10.83,       9.29,          3.23,     489.04, 2000000, 0.46, 1.00, 3.49 
   RMI,       8,     1.13, 1981.10,       815.21,     18.52,      16.56,          4.15,     567.34, 2000000, 0.41, 1.00, 3.49 
   RMI,       9,     1.16, 2032.26,       651.31,     21.54,      18.99,          4.50,     582.05, 2000000, 0.32, 1.00, 3.49 
    RS,       1,     0.57, 988.50,       347.52,      5.41,       3.77,          1.41,     285.21, 2000000, 0.35, 1.00, 3.47 
    RS,       2,     0.60, 1031.06,       431.30,      7.63,       5.87,          1.80,     297.62, 2000000, 0.42, 1.00, 3.46 
    RS,       3,     0.62, 1063.27,       425.06,      7.97,       6.03,          2.73,     307.74, 2000000, 0.40, 1.00, 3.46 
    RS,       4,     0.61, 1049.68,       368.56,      6.38,       4.60,          2.13,     303.86, 2000000, 0.35, 1.00, 3.45 
    RS,       5,     0.61, 1059.32,       383.19,      7.15,       5.29,          2.21,     305.72, 2000000, 0.36, 1.00, 3.46 
    RS,       6,     0.62, 1076.90,       395.24,      7.74,       5.40,          2.67,     311.66, 2000000, 0.37, 1.00, 3.46 
    RS,       7,     0.65, 1133.01,       456.94,      9.98,       6.10,          3.53,     326.83, 2000000, 0.40, 1.00, 3.47 
    RS,       8,     0.65, 1118.51,       397.06,      9.85,       7.44,          2.79,     323.58, 2000000, 0.35, 1.00, 3.46 
    RS,       9,     0.67, 1151.79,       450.65,     11.46,       7.26,          3.18,     333.10, 2000000, 0.39, 1.00, 3.46 
    RS,      10,     0.71, 1235.62,       506.06,     14.79,       7.98,          5.26,     356.01, 2000000, 0.41, 1.00, 3.47 
   PGM,      16,     0.40, 691.83,       284.59,      8.15,       4.47,          3.05,     201.19, 2000000, 0.41, 1.00, 3.44 
   PGM,       4,     0.41, 696.00,       274.53,      7.84,       4.32,          2.51,     202.55, 2000000, 0.39, 1.00, 3.44 
   PGM,       8,     0.40, 681.39,       274.59,      7.85,       4.31,          2.58,     198.37, 2000000, 0.40, 1.00, 3.43 
   PGM,      32,     0.42, 715.02,       297.92,      8.53,       4.99,          3.35,     208.01, 2000000, 0.42, 1.00, 3.44 
   PGM,      64,     0.42, 728.41,       292.40,      9.03,       6.09,          3.35,     210.94, 2000000, 0.40, 1.00, 3.45 
   PGM,     256,     0.46, 798.71,       284.47,     12.67,       9.80,          3.53,     230.45, 2000000, 0.36, 1.00, 3.47 
   PGM,    1024,     0.57, 981.73,       298.19,     17.01,      14.96,          4.01,     282.85, 2000000, 0.30, 1.00, 3.47 
   PGM,    2048,     0.63, 1089.42,       305.46,     19.78,      18.00,          4.23,     315.25, 2000000, 0.28, 1.00, 3.46 
   PGM,    4096,     0.71, 1224.53,       315.80,     22.73,      20.97,          4.46,     352.93, 2000000, 0.26, 1.00, 3.47 
   PGM,    8192,     0.75, 1309.23,       299.67,     24.67,      22.09,          4.41,     377.17, 2000000, 0.23, 1.00, 3.47 
 PGMMod,      16,     0.41, 708.23,       290.89,      8.24,       4.49,          3.10,     205.05, 2000000, 0.41, 1.00, 3.45 
 PGMMod,       4,     0.39, 669.52,       274.51,      7.62,       4.20,          2.42,     195.08, 2000000, 0.41, 1.00, 3.43 
 PGMMod,       8,     0.40, 691.82,       274.58,      8.07,       4.41,          2.68,     201.35, 2000000, 0.40, 1.00, 3.44 
 PGMMod,      32,     0.41, 704.52,       295.95,      8.47,       4.98,          3.24,     204.13, 2000000, 0.42, 1.00, 3.45 
 PGMMod,      64,     0.42, 724.77,       292.40,      9.20,       6.06,          3.32,     209.89, 2000000, 0.40, 1.00, 3.45 
 PGMMod,     256,     0.46, 800.32,       284.47,     12.57,       9.83,          3.37,     232.44, 2000000, 0.36, 1.00, 3.44 
 PGMMod,    1024,     0.57, 980.42,       298.19,     17.00,      14.90,          3.93,     283.13, 2000000, 0.30, 1.00, 3.46 
 PGMMod,    2048,     0.63, 1088.20,       305.47,     19.83,      18.06,          4.18,     314.00, 2000000, 0.28, 1.00, 3.47 
 PGMMod,    4096,     0.70, 1216.41,       315.80,     22.76,      20.82,          4.43,     351.60, 2000000, 0.26, 1.00, 3.46 
 PGMMod,    8192,     0.75, 1308.51,       299.67,     24.72,      22.17,          4.42,     377.09, 2000000, 0.23, 1.00, 3.47 
 PGMCache,      16,     0.61, 1050.24,       645.92,     11.78,       4.39,          4.34,     304.12, 2000000, 0.62, 1.00, 3.45 
 PGMCache,       4,     0.61, 1048.96,       633.38,     11.05,       4.08,          3.78,     303.64, 2000000, 0.60, 1.00, 3.45 
 PGMCache,       8,     0.60, 1034.53,       635.19,     11.44,       4.28,          3.97,     298.61, 2000000, 0.61, 1.00, 3.46 
 PGMCache,      32,     0.60, 1043.90,       643.41,     12.27,       4.99,          4.68,     301.31, 2000000, 0.62, 1.00, 3.46 
 PGMCache,      64,     0.61, 1058.11,       644.87,     13.02,       6.11,          4.71,     305.37, 2000000, 0.61, 1.00, 3.47 
 PGMCache,     256,     0.64, 1111.47,       640.51,     16.44,       9.84,          5.10,     320.84, 2000000, 0.58, 1.00, 3.46 
 PGMCache,    1024,     0.75, 1303.95,       647.16,     21.15,      14.95,          5.64,     375.76, 2000000, 0.50, 1.00, 3.47 
 PGMCache,    2048,     0.80, 1388.91,       635.20,     24.03,      18.01,          5.44,     399.79, 2000000, 0.46, 1.00, 3.47 
 PGMCache,    4096,     0.88, 1522.66,       640.16,     26.90,      20.90,          5.70,     438.47, 2000000, 0.42, 1.00, 3.47 
 PGMCache,    8192,     0.95, 1651.29,       647.76,     28.14,      22.17,          6.15,     475.27, 2000000, 0.39, 1.00, 3.47 
 BTree,      32,     0.56, 970.13,       504.32,     13.84,       6.51,          4.70,     277.83, 2000000, 0.52, 1.00, 3.49 
 BTree,       1,     0.67, 1160.89,       532.00,     15.62,       7.55,          3.90,     335.51, 2000000, 0.46, 1.00, 3.46 
 BTree,       4,     0.59, 1017.17,       502.97,     13.99,       6.39,          4.08,     296.57, 2000000, 0.49, 1.00, 3.43 
 BTree,      16,     0.54, 945.57,       502.45,     13.26,       6.42,          4.50,     270.91, 2000000, 0.53, 1.00, 3.49 
 BTree,      64,     0.56, 978.21,       507.81,     14.50,       7.37,          4.69,     280.15, 2000000, 0.52, 1.00, 3.49 
 BTree,     128,     0.55, 950.13,       498.19,     15.67,       8.67,          4.88,     274.45, 2000000, 0.52, 1.00, 3.46 
 BTree,     512,     0.57, 997.60,       488.56,     20.32,      11.81,          5.46,     285.71, 2000000, 0.49, 1.00, 3.49 
 BTree,    1024,     0.59, 1027.51,       468.17,     22.51,      13.84,          5.48,     294.27, 2000000, 0.46, 1.00, 3.49 
