index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 304.40,       238.74,      1.95,       1.51,          0.99,     119.12,        0.02,      73.58,             0.26,       27.11,              0.16,       0.02,             0.11, 100000, 0.78, 1.01, 2.56 
PGM,       4,     0.01, 210.91,       213.17,      1.77,       1.47,          0.76,      85.89,        0.00,      57.72,             0.01,       10.99,              0.03,       0.00,             -nan, 100000, 1.01, 1.01, 2.46 
PGM,       8,     0.01, 217.72,       221.28,      1.77,       1.47,          0.83,      88.68,        0.00,      58.53,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.02, 1.01, 2.46 
PGM,      32,     0.01, 227.35,       239.58,      1.80,       1.48,          0.99,      92.60,        0.00,      60.37,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.05, 1.01, 2.46 
PGM,      64,     0.01, 232.08,       251.20,      1.82,       1.48,          0.98,      98.57,        0.00,      61.16,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.08, 1.01, 2.35 
PGM,     256,     0.01, 205.47,       246.08,      1.86,       1.49,          1.10,      83.67,        0.00,      56.86,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.20, 1.01, 2.46 
PGM,    1024,     0.01, 215.70,       274.02,      1.88,       1.49,          1.15,      87.86,        0.00,      59.35,             0.02,       10.98,              0.03,       0.01,             -nan, 100000, 1.27, 1.01, 2.45 
PGM,    2048,     0.01, 218.54,       284.73,      1.91,       1.49,          1.16,      89.01,        0.00,      60.35,             0.02,       10.98,              0.03,       0.02,             -nan, 100000, 1.30, 1.01, 2.46 
PGM,    4096,     0.01, 220.48,       294.42,      1.96,       1.50,          1.13,      86.29,        0.00,      61.35,             0.02,       10.98,              0.03,       0.01,             -nan, 100000, 1.34, 1.01, 2.56 
PGM,    8192,     0.01, 187.86,       279.60,      1.96,       1.52,          1.09,      76.53,        0.00,      56.07,             0.02,       10.97,              0.03,       0.01,             -nan, 100000, 1.49, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 205.11,       219.08,      1.95,       1.49,          0.35,      83.56,        0.00,      70.44,             0.03,       32.79,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       4,     0.01, 203.49,       217.69,      1.94,       1.48,          0.37,      82.89,        0.00,      70.47,             0.03,       32.83,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.46 
