index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 1268.30,       716.18,     16.64,      14.99,          1.93,     516.75,        0.22,     203.42,             2.56,      225.68,              1.60,       0.07,             -nan, 10000, 0.56, 1.02, 2.45 
PGM,       4,     0.00, 382.92,       227.69,     14.93,      14.61,          1.30,     159.59,        0.00,      60.88,             0.09,       64.55,              0.26,       -nan,             -nan, 10000, 0.59, 1.06, 2.40 
PGM,       8,     0.00, 385.51,       236.65,     14.93,      14.58,          1.29,     160.73,        0.00,      61.47,             0.08,       64.53,              0.26,       -nan,             -nan, 10000, 0.61, 1.07, 2.40 
PGM,      32,     0.00, 397.35,       256.40,     15.03,      14.60,          1.53,     165.52,        0.00,      63.18,             0.08,       64.53,              0.26,       -nan,             -nan, 10000, 0.65, 1.06, 2.40 
PGM,      64,     0.00, 403.28,       265.21,     15.11,      14.64,          1.60,     167.87,        0.00,      63.96,             0.08,       64.54,              0.26,       -nan,             -nan, 10000, 0.66, 1.06, 2.40 
PGM,     256,     0.00, 410.22,       257.31,     15.31,      14.71,          1.85,     133.24,        0.00,      59.58,             0.09,       64.54,              0.27,       -nan,             -nan, 10000, 0.63, 1.06, 3.08 
PGM,    1024,     0.00, 390.22,       285.13,     15.35,      14.77,          1.89,     162.66,        0.00,      62.11,             0.10,       64.53,              0.26,       -nan,             -nan, 10000, 0.73, 1.06, 2.40 
PGM,    2048,     0.00, 389.81,       296.30,     15.43,      14.78,          1.81,     162.49,        0.00,      63.12,             0.11,       64.52,              0.27,       -nan,             -nan, 10000, 0.76, 1.06, 2.40 
PGM,    4096,     0.00, 427.52,       307.97,     15.56,      14.83,          1.85,     143.23,        0.00,      64.32,             0.12,       64.62,              0.27,       -nan,             -nan, 10000, 0.72, 1.06, 2.98 
PGM,    8192,     0.00, 360.81,       288.99,     15.72,      14.87,          1.85,     150.79,        0.00,      58.82,             0.13,       64.52,              0.26,       -nan,             -nan, 10000, 0.80, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 374.86,       251.24,     15.40,      14.68,          0.82,     156.43,        0.00,      78.54,             0.15,       90.30,              0.27,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 366.90,       247.87,     15.21,      14.60,          0.80,     153.19,        0.00,      77.85,             0.15,       89.90,              0.26,       -nan,             -nan, 10000, 0.68, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 373.38,       248.70,     15.23,      14.60,          0.85,     155.77,        0.00,      77.98,             0.14,       89.99,              0.26,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 369.80,       249.20,     15.35,      14.64,          0.86,     154.41,        0.00,      77.84,             0.14,       89.91,              0.27,       -nan,             -nan, 10000, 0.67, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 373.69,       250.39,     15.45,      14.67,          0.86,     155.97,        0.00,      78.07,             0.14,       90.00,              0.26,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 363.52,       249.36,     15.57,      14.69,          0.90,     151.86,        0.00,      77.58,             0.14,       89.91,              0.26,       -nan,             -nan, 10000, 0.69, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 371.11,       251.02,     15.74,      14.78,          0.91,     154.96,        0.00,      77.71,             0.15,       89.90,              0.26,       -nan,             -nan, 10000, 0.68, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 373.15,       252.45,     15.81,      14.83,          0.89,     155.81,        0.00,      77.99,             0.16,       89.99,              0.26,       -nan,             -nan, 10000, 0.68, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 374.89,       252.46,     15.87,      14.85,          0.86,     156.42,        0.00,      77.85,             0.17,       89.89,              0.26,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 378.25,       251.39,     16.16,      14.91,          1.04,     157.78,        0.00,      77.50,             0.18,       89.90,              0.27,       -nan,             -nan, 10000, 0.66, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 373.48,       249.84,     15.27,      14.63,          0.85,     155.92,        0.00,      78.19,             0.14,       90.06,              0.27,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 371.68,       248.22,     15.21,      14.62,          0.82,     155.12,        0.00,      77.89,             0.15,       89.89,              0.26,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 368.35,       248.83,     15.23,      14.61,          0.85,     160.26,        0.00,      78.00,             0.14,       89.97,              0.27,       -nan,             -nan, 10000, 0.68, 1.07, 2.30 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 368.93,       249.20,     15.35,      14.64,          0.85,     154.01,        0.00,      77.83,             0.14,       89.88,              0.27,       -nan,             -nan, 10000, 0.68, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 371.77,       249.81,     15.44,      14.67,          0.87,     155.31,        0.00,      77.86,             0.14,       89.88,              0.26,       -nan,             -nan, 10000, 0.67, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 370.54,       249.31,     15.59,      14.70,          0.91,     154.69,        0.00,      77.54,             0.14,       89.86,              0.27,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 371.05,       251.07,     15.72,      14.76,          0.91,     154.82,        0.00,      77.71,             0.15,       89.87,              0.26,       -nan,             -nan, 10000, 0.68, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 373.64,       252.47,     15.80,      14.83,          0.88,     155.89,        0.00,      77.99,             0.17,       89.97,              0.26,       -nan,             -nan, 10000, 0.68, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 369.35,       252.48,     15.87,      14.84,          0.87,     154.14,        0.00,      77.84,             0.17,       89.87,              0.26,       -nan,             -nan, 10000, 0.68, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 381.32,       251.54,     16.15,      14.93,          1.01,     152.81,        0.00,      77.51,             0.18,       89.91,              0.27,       -nan,             -nan, 10000, 0.66, 1.07, 2.50 
