index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.04, 231.11,       242.08,      0.68,       0.39,          0.61,      75.02,        0.00,      58.87,             0.07,       10.02,              0.03,       0.01,             0.00, 500000, 1.05, 1.00, 3.08 
PGM,       4,     0.03, 199.58,       215.69,      0.66,       0.40,          0.46,      65.74,        0.00,      54.51,             0.01,        6.22,              0.01,       0.00,             0.00, 500000, 1.08, 1.00, 3.04 
PGM,       8,     0.03, 209.42,       226.29,      0.65,       0.39,          0.55,      66.43,        0.00,      56.03,             0.01,        6.23,              0.01,       0.01,             0.00, 500000, 1.08, 1.00, 3.15 
PGM,      32,     0.03, 221.23,       248.65,      0.65,       0.39,          0.65,      68.16,        0.00,      57.75,             0.01,        6.23,              0.01,       0.01,             0.00, 500000, 1.12, 1.00, 3.25 
PGM,      64,     0.04, 219.58,       257.15,      0.66,       0.39,          0.62,      71.62,        0.00,      58.55,             0.01,        6.27,              0.01,       0.01,             0.00, 500000, 1.17, 1.00, 3.07 
PGM,     256,     0.03, 193.08,       249.69,      0.67,       0.41,          0.64,      59.13,        0.00,      54.72,             0.01,        6.21,              0.01,       0.01,             0.00, 500000, 1.29, 1.00, 3.27 
PGM,    1024,     0.03, 200.79,       276.52,      0.67,       0.40,          0.70,      62.71,        0.00,      56.67,             0.01,        6.21,              0.01,       0.01,             0.00, 500000, 1.38, 1.00, 3.20 
PGM,    2048,     0.03, 202.52,       288.14,      0.69,       0.39,          0.70,      66.56,        0.00,      57.27,             0.01,        6.23,              0.01,       0.01,             0.00, 500000, 1.42, 1.00, 3.04 
PGM,    4096,     0.03, 207.88,       301.59,      0.70,       0.39,          0.68,      65.79,        0.00,      57.42,             0.01,        6.21,              0.01,       0.01,             0.00, 500000, 1.45, 1.00, 3.16 
PGM,    8192,     0.03, 169.87,       278.95,      0.70,       0.42,          0.63,      55.05,        0.00,      54.71,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.64, 1.00, 3.09 
PGMCacheL (0, 0.000000, 0),      16,     0.04, 249.44,       238.12,      0.71,       0.38,          0.29,      78.75,        0.00,      70.27,             0.01,       26.63,              0.01,       0.00,             0.00, 500000, 0.95, 1.00, 3.17 
