index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.04, 217.98,       242.00,      0.67,       0.39,          0.22,      70.72,        0.00,      58.59,             0.07,        9.79,              0.03,       0.00,             0.00, 500000, 1.11, 1.00, 3.08 
PGM,       4,     0.03, 188.52,       213.96,      0.65,       0.40,          0.15,      62.51,        0.00,      54.38,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.13, 1.00, 3.02 
PGM,       8,     0.03, 194.87,       225.15,      0.64,       0.40,          0.19,      64.38,        0.00,      55.16,             0.00,        6.21,              0.01,       0.00,             0.00, 500000, 1.16, 1.00, 3.03 
PGM,      32,     0.03, 206.16,       247.24,      0.63,       0.40,          0.24,      64.26,        0.00,      57.53,             0.00,        6.21,              0.01,       0.00,             0.00, 500000, 1.20, 1.00, 3.21 
PGM,      64,     0.03, 208.88,       258.03,      0.63,       0.40,          0.21,      65.03,        0.00,      58.27,             0.00,        6.21,              0.01,       0.00,             0.00, 500000, 1.24, 1.00, 3.21 
PGM,     256,     0.03, 177.23,       252.15,      0.66,       0.41,          0.20,      58.43,        0.00,      54.56,             0.00,        6.21,              0.01,       0.01,             0.00, 500000, 1.42, 1.00, 3.03 
PGM,    1024,     0.03, 184.55,       276.83,      0.65,       0.41,          0.22,      60.39,        0.00,      56.26,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.50, 1.00, 3.06 
PGM,    2048,     0.03, 179.20,       282.07,      0.67,       0.42,          0.24,      53.50,        0.00,      59.96,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.57, 1.00, 3.35 
PGM,    4096,     0.03, 204.17,       312.92,      0.65,       0.40,          0.23,      60.76,        0.00,      58.60,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.53, 1.00, 3.36 
PGM,    8192,     0.03, 154.98,       279.53,      0.67,       0.43,          0.20,      52.31,        0.00,      54.86,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.80, 1.00, 2.96 
PGMCacheL (0, 0.000000, 0),      16,     0.03, 156.06,       197.66,      0.67,       0.43,          0.03,      52.87,        0.00,      66.00,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.27, 1.00, 2.95 
PGMCacheL (0, 0.000000, 0),       4,     0.03, 155.78,       197.47,      0.68,       0.43,          0.03,      51.92,        0.00,      65.90,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.27, 1.00, 3.00 
PGMCacheL (0, 0.000000, 0),       8,     0.03, 160.82,       197.46,      0.66,       0.43,          0.03,      51.74,        0.00,      66.29,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.23, 1.00, 3.11 
PGMCacheL (0, 0.000000, 0),      32,     0.03, 159.01,       196.87,      0.66,       0.43,          0.03,      50.90,        0.00,      66.62,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.24, 1.00, 3.12 
PGMCacheL (0, 0.000000, 0),      64,     0.03, 155.87,       197.21,      0.68,       0.43,          0.03,      52.55,        0.00,      65.86,             0.01,       27.21,              0.01,       0.00,             0.00, 500000, 1.27, 1.00, 2.97 
PGMCacheL (0, 0.000000, 0),     256,     0.02, 151.24,       196.10,      0.70,       0.45,          0.03,      47.75,        0.00,      66.83,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.30, 1.00, 3.17 
PGMCacheL (0, 0.000000, 0),    1024,     0.03, 159.33,       197.19,      0.67,       0.42,          0.03,      53.48,        0.00,      65.57,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.24, 1.00, 2.98 
PGMCacheL (0, 0.000000, 0),    2048,     0.03, 155.27,       196.78,      0.67,       0.42,          0.03,      53.04,        0.00,      65.88,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.27, 1.00, 2.93 
PGMCacheL (0, 0.000000, 0),    4096,     0.03, 158.37,       197.16,      0.67,       0.42,          0.03,      53.91,        0.00,      65.67,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.24, 1.00, 2.94 
PGMCacheL (0, 0.000000, 0),    8192,     0.03, 160.56,       197.26,      0.66,       0.43,          0.03,      51.73,        0.00,      66.34,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.23, 1.00, 3.10 
PGMCacheR (0, 0.000000, 0),      16,     0.03, 156.87,       197.02,      0.67,       0.42,          0.03,      53.49,        0.00,      65.73,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.26, 1.00, 2.93 
PGMCacheR (0, 0.000000, 0),       4,     0.03, 155.32,       197.17,      0.68,       0.43,          0.03,      52.39,        0.00,      65.90,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.27, 1.00, 2.96 
PGMCacheR (0, 0.000000, 0),       8,     0.03, 156.96,       198.54,      0.68,       0.43,          0.03,      52.74,        0.00,      66.11,             0.01,       27.22,              0.01,       0.00,             0.00, 500000, 1.26, 1.00, 2.98 
