index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.78, 2562.94,       819.97,      7.89,       5.90,          1.86,     740.42, 1050000, 0.32, 1.00, 3.46 
   RMI,       1,     0.59, 1930.38,       569.68,      7.98,       5.98,          1.95,     559.25, 1050000, 0.30, 1.00, 3.45 
   RMI,       2,     0.58, 1920.48,       561.96,      8.33,       6.36,          2.18,     556.78, 1050000, 0.29, 1.00, 3.45 
   RMI,       3,     0.45, 1460.52,       371.45,     11.48,       8.49,          2.83,     424.18, 1050000, 0.25, 1.00, 3.44 
   RMI,       4,     0.62, 2026.74,       589.04,     10.64,       8.54,          3.11,     588.66, 1050000, 0.29, 1.00, 3.44 
   RMI,       5,     0.60, 1986.60,       582.25,     11.69,       9.39,          3.34,     574.53, 1050000, 0.29, 1.00, 3.46 
   RMI,       6,     0.80, 2629.79,       847.46,     15.80,      12.94,          4.18,     758.64, 1050000, 0.32, 1.00, 3.47 
   RMI,       7,     0.93, 3069.55,       876.76,     26.67,      23.30,          8.21,     884.40, 1050000, 0.29, 1.00, 3.47 
   RMI,       8,     0.79, 2633.55,       644.19,     33.87,      30.41,          6.56,     754.20, 1050000, 0.24, 1.00, 3.49 
   RMI,       9,     0.86, 2847.40,       656.41,     39.34,      35.21,          7.10,     815.49, 1050000, 0.23, 1.00, 3.49 
    RS,       1,     0.42, 1375.86,       351.86,     10.83,       7.69,          1.59,     400.21, 1050000, 0.26, 1.00, 3.44 
    RS,       2,     0.43, 1399.29,       399.65,     13.90,      10.46,          2.25,     405.23, 1050000, 0.29, 1.00, 3.45 
    RS,       3,     0.43, 1397.38,       365.70,     11.75,       8.55,          2.66,     406.38, 1050000, 0.26, 1.00, 3.44 
    RS,       4,     0.44, 1445.55,       367.47,     13.03,       9.54,          2.53,     418.77, 1050000, 0.25, 1.00, 3.45 
    RS,       5,     0.44, 1440.96,       370.42,     12.90,       9.32,          2.85,     417.21, 1050000, 0.26, 1.00, 3.45 
    RS,       6,     0.47, 1536.61,       384.43,     15.89,      11.88,          3.19,     446.27, 1050000, 0.25, 1.00, 3.44 
    RS,       7,     0.47, 1543.12,       438.11,     18.97,      11.40,          5.42,     446.40, 1050000, 0.28, 1.00, 3.46 
    RS,       8,     0.50, 1633.59,       392.11,     19.00,      14.39,          3.77,     474.04, 1050000, 0.24, 1.00, 3.45 
    RS,       9,     0.48, 1579.92,       406.36,     20.24,      13.85,          4.75,     456.91, 1050000, 0.26, 1.00, 3.46 
    RS,      10,     0.53, 1734.95,       450.24,     23.42,      15.06,          6.44,     503.04, 1050000, 0.26, 1.00, 3.45 
   PGM,      16,     0.35, 1132.86,       287.62,     15.67,       8.45,          5.19,     329.94, 1050000, 0.25, 1.00, 3.43 
   PGM,       4,     0.38, 1228.61,       306.79,     18.02,       8.94,          4.88,     358.18, 1050000, 0.25, 1.00, 3.43 
   PGM,       8,     0.35, 1166.96,       289.25,     15.70,       8.71,          4.40,     337.49, 1050000, 0.25, 1.00, 3.46 
   PGM,      32,     0.36, 1178.46,       300.05,     16.30,       9.66,          5.55,     341.95, 1050000, 0.25, 1.00, 3.45 
   PGM,      64,     0.36, 1197.33,       295.26,     17.92,      11.52,          5.98,     347.16, 1050000, 0.25, 1.00, 3.45 
   PGM,     256,     0.41, 1362.49,       288.24,     23.55,      18.53,          6.74,     394.62, 1050000, 0.21, 1.00, 3.45 
   PGM,    1024,     0.51, 1673.99,       296.74,     31.58,      27.74,          7.72,     483.85, 1050000, 0.18, 1.00, 3.46 
