index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.75, 2605.94,       819.88,      8.23,       6.18,          1.88,     753.02, 1000000, 0.31, 1.00, 3.46 
   RMI,       1,     0.57, 1978.09,       569.27,      8.37,       6.30,          1.99,     573.20, 1000000, 0.29, 1.00, 3.45 
   RMI,       2,     0.57, 1953.12,       561.03,      8.74,       6.68,          2.21,     566.81, 1000000, 0.29, 1.00, 3.45 
   RMI,       3,     0.41, 1421.02,       371.02,     12.01,       9.03,          2.86,     414.13, 1000000, 0.26, 1.00, 3.43 
   RMI,       4,     0.60, 2077.65,       588.51,     10.94,       8.95,          3.13,     602.63, 1000000, 0.28, 1.00, 3.45 
   RMI,       5,     0.59, 2041.44,       581.22,     11.97,       9.91,          3.38,     590.48, 1000000, 0.28, 1.00, 3.46 
   RMI,       6,     0.77, 2678.01,       846.47,     16.10,      13.57,          4.21,     772.92, 1000000, 0.32, 1.00, 3.46 
   RMI,       7,     0.86, 2995.99,       875.70,     27.18,      24.51,          5.78,     861.60, 1000000, 0.29, 1.00, 3.48 
   RMI,       8,     0.78, 2733.68,       643.17,     34.70,      32.04,          6.71,     782.90, 1000000, 0.24, 1.00, 3.49 
   RMI,       9,     0.82, 2871.70,       655.28,     40.27,      37.32,          7.19,     822.41, 1000000, 0.23, 1.00, 3.49 
    RS,       1,     0.41, 1402.31,       350.92,     11.02,       7.93,          1.62,     406.31, 1000000, 0.25, 1.00, 3.45 
    RS,       2,     0.42, 1460.67,       398.52,     14.37,      11.09,          2.27,     424.83, 1000000, 0.27, 1.00, 3.44 
    RS,       3,     0.42, 1453.61,       364.63,     12.05,       8.93,          2.69,     422.79, 1000000, 0.25, 1.00, 3.44 
    RS,       4,     0.43, 1487.06,       366.47,     13.30,       9.91,          2.52,     430.54, 1000000, 0.25, 1.00, 3.45 
    RS,       5,     0.43, 1479.14,       369.40,     13.15,       9.74,          2.88,     428.29, 1000000, 0.25, 1.00, 3.45 
    RS,       6,     0.45, 1571.56,       383.60,     16.22,      12.53,          3.23,     453.79, 1000000, 0.24, 1.00, 3.46 
    RS,       7,     0.46, 1583.87,       437.04,     19.45,      11.94,          5.55,     458.29, 1000000, 0.28, 1.00, 3.46 
    RS,       8,     0.47, 1632.17,       391.20,     19.33,      15.20,          3.85,     472.14, 1000000, 0.24, 1.00, 3.46 
    RS,       9,     0.47, 1624.49,       405.57,     20.38,      14.58,          4.82,     469.69, 1000000, 0.25, 1.00, 3.46 
    RS,      10,     0.50, 1729.46,       449.40,     23.78,      15.85,          6.56,     501.79, 1000000, 0.26, 1.00, 3.45 
   PGM,      16,     0.35, 1186.45,       286.65,     17.16,       8.95,          5.97,     346.44, 1000000, 0.24, 1.00, 3.42 
   PGM,       4,     0.36, 1248.85,       305.88,     15.86,       8.92,          4.61,     363.75, 1000000, 0.24, 1.00, 3.43 
   PGM,       8,     0.35, 1208.46,       288.35,     16.06,       9.12,          4.64,     350.77, 1000000, 0.24, 1.00, 3.45 
   PGM,      32,     0.36, 1231.15,       299.65,     16.77,      10.19,          6.04,     357.25, 1000000, 0.24, 1.00, 3.45 
   PGM,      64,     0.36, 1242.88,       283.39,     18.38,      12.18,          6.27,     362.06, 1000000, 0.23, 1.00, 3.43 
   PGM,     256,     0.41, 1408.87,       287.40,     24.23,      19.43,          6.95,     410.11, 1000000, 0.20, 1.00, 3.44 
   PGM,    1024,     0.51, 1763.83,       295.79,     32.75,      29.22,          7.90,     509.71, 1000000, 0.17, 1.00, 3.46 
   PGM,    2048,     0.58, 1998.58,       306.11,     38.42,      35.51,          8.55,     578.49, 1000000, 0.15, 1.00, 3.45 
   PGM,    4096,     0.65, 2235.06,       316.80,     43.13,      40.57,          8.89,     646.20, 1000000, 0.14, 1.00, 3.46 
   PGM,    8192,     0.72, 2477.51,       327.46,     46.43,      43.71,          8.89,     715.62, 1000000, 0.13, 1.00, 3.46 
   ART,       1,     0.55, 1907.33,       357.47,     18.70,      11.91,          1.31,     552.72, 1000000, 0.19, 1.00, 3.45 
   ART,      32,     0.43, 1468.81,       389.06,     16.88,      11.54,          3.52,     425.42, 1000000, 0.26, 1.00, 3.45 
   ART,      64,     0.40, 1408.69,       356.03,     19.62,      13.70,          3.74,     403.43, 1000000, 0.25, 1.00, 3.49 
   ART,     128,     0.42, 1457.18,       386.98,     21.56,      15.56,          4.49,     422.02, 1000000, 0.27, 1.00, 3.45 
   ART,     256,     0.42, 1464.66,       398.45,     24.05,      17.36,          5.28,     419.44, 1000000, 0.27, 1.00, 3.49 
   ART,     512,     0.45, 1575.00,       422.48,     26.94,      19.82,          5.99,     451.06, 1000000, 0.27, 1.00, 3.49 
   ART,    1024,     0.51, 1766.45,       449.06,     32.86,      26.50,          7.06,     505.90, 1000000, 0.25, 1.00, 3.49 
   ART,    2048,     0.54, 1899.16,       435.97,     37.77,      31.22,          8.03,     543.88, 1000000, 0.23, 1.00, 3.49 
   ART,    4096,     0.58, 2026.67,       424.95,     42.84,      36.46,          8.38,     580.40, 1000000, 0.21, 1.00, 3.49 
   ART,    8192,     0.68, 2369.84,       418.57,     48.49,      42.65,          8.89,     678.70, 1000000, 0.18, 1.00, 3.49 
 BTree,      32,     0.53, 1859.57,       375.51,     28.20,      14.94,          9.90,     532.61, 1000000, 0.20, 1.00, 3.49 
 BTree,       1,     0.67, 2313.31,       380.45,     32.73,      17.74,          8.28,     667.18, 1000000, 0.16, 1.00, 3.47 
 BTree,       4,     0.59, 2061.05,       369.06,     28.93,      14.37,          9.33,     594.92, 1000000, 0.18, 1.00, 3.46 
 BTree,      16,     0.54, 1896.90,       374.95,     27.83,      14.41,          9.64,     543.27, 1000000, 0.20, 1.00, 3.49 
 BTree,      64,     0.53, 1836.93,       368.69,     30.03,      15.89,         10.44,     526.07, 1000000, 0.20, 1.00, 3.49 
 BTree,     128,     0.52, 1801.41,       365.69,     31.20,      17.51,         10.74,     520.60, 1000000, 0.20, 1.00, 3.46 
 BTree,     512,     0.54, 1893.95,       359.54,     37.52,      24.53,         11.64,     542.48, 1000000, 0.19, 1.00, 3.49 
 BTree,    1024,     0.56, 1956.76,       368.59,     41.61,      28.57,         11.82,     560.41, 1000000, 0.19, 1.00, 3.49 
 BTree,    4096,     0.61, 2135.97,       370.75,     49.56,      37.30,         11.65,     611.73, 1000000, 0.17, 1.00, 3.49 
 BTree,   16384,     0.76, 2633.36,       365.68,     56.95,      46.33,         12.39,     762.31, 1000000, 0.14, 1.00, 3.45 
 BTree,   65536,     0.87, 3043.21,       375.11,     65.56,      53.90,         12.41,     871.52, 1000000, 0.12, 1.00, 3.49 
 BTree,  262144,     0.94, 3286.50,       371.16,     75.15,      59.99,         12.99,     941.23, 1000000, 0.11, 1.00, 3.49 
 FITing,     128,     0.43, 1483.14,       392.01,     26.84,      15.06,          8.34,     431.17, 1000000, 0.26, 1.00, 3.44 
 FITing,       8,     0.55, 1910.18,       393.46,     28.55,      14.73,          8.98,     551.69, 1000000, 0.21, 1.00, 3.46 
 FITing,      16,     0.54, 1851.18,       394.23,     26.82,      14.84,          8.71,     536.25, 1000000, 0.21, 1.00, 3.45 
