index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.85, 1681.46,       578.06,      8.08,       4.75,          2.59,     484.22, 1750000, 0.34, 1.00, 3.47 
   RMI,       1,     0.86, 1716.38,       582.10,      9.10,       5.35,          3.76,     491.54, 1750000, 0.34, 1.00, 3.49 
   RMI,       2,     0.86, 1724.53,       581.97,     10.69,       6.22,          3.26,     493.86, 1750000, 0.34, 1.00, 3.49 
   RMI,       3,     0.92, 1828.74,       605.72,     14.65,       8.57,          3.73,     523.77, 1750000, 0.33, 1.00, 3.49 
   RMI,       4,     0.94, 1870.70,       605.87,     16.56,      10.01,          3.97,     535.77, 1750000, 0.32, 1.00, 3.49 
   RMI,       5,     0.97, 1926.06,       614.07,     19.34,      11.68,          4.17,     551.59, 1750000, 0.32, 1.00, 3.49 
   RMI,       6,     0.98, 1964.05,       615.28,     21.84,      13.33,          4.41,     562.46, 1750000, 0.31, 1.00, 3.49 
   RMI,       7,     1.02, 2031.77,       636.12,     27.16,      16.70,          4.91,     581.87, 1750000, 0.31, 1.00, 3.49 
   RMI,       8,     1.20, 2387.35,       661.07,     36.71,      24.55,          5.91,     683.70, 1750000, 0.28, 1.00, 3.49 
   RMI,       9,     1.31, 2615.01,       687.66,     42.17,      28.10,          6.34,     748.90, 1750000, 0.26, 1.00, 3.49 
    RS,       1,     1.12, 2231.21,       632.66,     47.73,      18.84,         10.22,     642.73, 1750000, 0.28, 1.00, 3.47 
    RS,       2,     1.00, 1983.38,       625.68,     40.47,      14.15,         10.54,     571.72, 1750000, 0.32, 1.00, 3.47 
    RS,       3,     0.98, 1940.50,       626.62,     39.51,      14.28,         10.03,     558.14, 1750000, 0.32, 1.00, 3.48 
    RS,       4,     0.91, 1815.96,       623.10,     38.67,      12.15,         10.12,     522.77, 1750000, 0.34, 1.00, 3.47 
    RS,       5,     0.89, 1776.57,       623.58,     38.48,      12.27,         10.11,     511.20, 1750000, 0.35, 1.00, 3.48 
    RS,       6,     0.89, 1765.12,       628.03,     39.21,      11.63,         10.24,     508.29, 1750000, 0.36, 1.00, 3.47 
    RS,       7,     0.86, 1707.82,       628.23,     41.80,      12.25,         10.22,     491.77, 1750000, 0.37, 1.00, 3.47 
    RS,       8,     0.85, 1689.25,       621.33,     41.67,      12.16,         10.26,     486.19, 1750000, 0.37, 1.00, 3.47 
    RS,       9,     0.85, 1691.81,       621.22,     41.81,      12.17,         10.29,     487.23, 1750000, 0.37, 1.00, 3.47 
    RS,      10,     0.86, 1695.69,       621.22,     41.98,      12.16,         10.40,     488.69, 1750000, 0.37, 1.00, 3.47 
   PGM,      16,     0.46, 901.69,       294.29,     16.40,       6.49,          3.40,     260.77, 1750000, 0.33, 1.00, 3.46 
   PGM,       4,     0.52, 1036.08,       347.31,     23.64,       8.04,          4.60,     299.37, 1750000, 0.34, 1.00, 3.46 
   PGM,       8,     0.47, 930.51,       313.80,     17.28,       5.94,          3.61,     269.97, 1750000, 0.34, 1.00, 3.45 
   PGM,      32,     0.49, 960.30,       313.66,     16.80,       7.53,          3.46,     278.69, 1750000, 0.33, 1.00, 3.45 
   PGM,      64,     0.53, 1046.57,       341.58,     18.69,       8.98,          4.10,     302.38, 1750000, 0.33, 1.00, 3.46 
   PGM,     256,     0.53, 1043.46,       319.19,     23.16,      12.43,          4.71,     302.41, 1750000, 0.31, 1.00, 3.45 
   PGM,    1024,     0.60, 1180.03,       317.02,     27.10,      17.67,          4.73,     341.45, 1750000, 0.27, 1.00, 3.46 
   PGM,    2048,     0.66, 1314.68,       352.50,     30.82,      20.88,          5.14,     379.29, 1750000, 0.27, 1.00, 3.47 
   PGM,    4096,     0.71, 1416.08,       331.90,     34.44,      23.93,          5.52,     408.11, 1750000, 0.23, 1.00, 3.47 
   PGM,    8192,     0.80, 1592.00,       330.94,     36.47,      25.76,          5.32,     459.41, 1750000, 0.21, 1.00, 3.47 
 PGMMod,      16,     0.45, 895.98,       294.26,     16.42,       6.47,          3.36,     259.40, 1750000, 0.33, 1.00, 3.45 
 PGMMod,       4,     0.51, 1000.35,       347.29,     17.93,       6.20,          3.54,     289.98, 1750000, 0.35, 1.00, 3.45 
 PGMMod,       8,     0.47, 926.40,       313.80,     17.27,       5.96,          3.61,     268.79, 1750000, 0.34, 1.00, 3.45 
 PGMMod,      32,     0.49, 966.23,       313.66,     16.83,       7.53,          3.73,     279.38, 1750000, 0.32, 1.00, 3.46 
 PGMMod,      64,     0.52, 1033.75,       340.17,     18.61,       9.00,          4.15,     298.72, 1750000, 0.33, 1.00, 3.46 
 PGMMod,     256,     0.54, 1055.98,       325.14,     23.05,      12.43,          4.61,     306.09, 1750000, 0.31, 1.00, 3.45 
 PGMMod,    1024,     0.60, 1178.17,       317.02,     27.29,      17.73,          4.77,     340.99, 1750000, 0.27, 1.00, 3.46 
 PGMMod,    2048,     0.68, 1345.51,       352.51,     30.71,      20.85,          5.14,     388.84, 1750000, 0.26, 1.00, 3.46 
 PGMMod,    4096,     0.73, 1446.53,       331.92,     34.91,      24.13,          5.46,     417.74, 1750000, 0.23, 1.00, 3.46 
 PGMMod,    8192,     0.79, 1561.57,       330.93,     36.12,      25.61,          5.28,     450.72, 1750000, 0.21, 1.00, 3.46 
 PGMCache,      16,     0.62, 1219.40,       672.84,     17.04,       6.42,          4.63,     352.73, 1750000, 0.55, 1.00, 3.46 
 PGMCache,       4,     0.65, 1280.23,       701.69,     17.71,       6.27,          4.83,     369.30, 1750000, 0.55, 1.00, 3.47 
 PGMCache,       8,     0.62, 1225.40,       683.89,     17.31,       5.86,          4.84,     353.61, 1750000, 0.56, 1.00, 3.47 
 PGMCache,      32,     0.64, 1275.56,       671.76,     17.46,       7.48,          5.00,     367.97, 1750000, 0.53, 1.00, 3.47 
 PGMCache,      64,     0.68, 1337.86,       699.32,     19.92,       9.08,          5.45,     385.82, 1750000, 0.52, 1.00, 3.47 
 PGMCache,     256,     0.69, 1373.91,       693.85,     23.32,      12.43,          5.84,     396.96, 1750000, 0.51, 1.00, 3.46 
 PGMCache,    1024,     0.76, 1497.89,       669.51,     27.54,      17.65,          6.25,     431.64, 1750000, 0.45, 1.00, 3.47 
 PGMCache,    2048,     0.82, 1626.50,       706.99,     30.35,      20.76,          6.46,     468.49, 1750000, 0.43, 1.00, 3.47 
 PGMCache,    4096,     0.89, 1764.93,       694.90,     33.80,      23.97,          6.83,     508.92, 1750000, 0.39, 1.00, 3.47 
 PGMCache,    8192,     0.95, 1883.23,       694.27,     35.12,      25.60,          6.57,     542.00, 1750000, 0.37, 1.00, 3.47 
 BTree,      32,     0.58, 1155.44,       371.85,     25.00,       8.50,          5.69,     330.89, 1750000, 0.32, 1.00, 3.49 
 BTree,       1,     0.74, 1469.49,       377.48,     28.25,       9.74,          4.70,     424.18, 1750000, 0.26, 1.00, 3.46 
 BTree,       4,     0.65, 1297.60,       366.60,     26.84,       8.27,          5.43,     374.27, 1750000, 0.28, 1.00, 3.47 
 BTree,      16,     0.59, 1171.75,       364.16,     25.03,       8.23,          5.58,     335.61, 1750000, 0.31, 1.00, 3.49 
 BTree,      64,     0.57, 1141.77,       372.87,     24.74,       8.85,          5.89,     326.99, 1750000, 0.33, 1.00, 3.49 
 BTree,     128,     0.57, 1135.29,       375.49,     25.48,      10.07,          6.14,     328.55, 1750000, 0.33, 1.00, 3.46 
 BTree,     512,     0.59, 1168.12,       369.96,     29.75,      14.17,          6.56,     334.52, 1750000, 0.32, 1.00, 3.49 
 BTree,    1024,     0.61, 1213.72,       372.92,     32.66,      16.70,          6.81,     350.82, 1750000, 0.31, 1.00, 3.46 
 BTree,    4096,     0.67, 1333.99,       372.51,     37.40,      21.79,          6.72,     382.03, 1750000, 0.28, 1.00, 3.49 
 BTree,   16384,     0.80, 1576.41,       375.59,     42.00,      26.27,          7.01,     456.63, 1750000, 0.24, 1.00, 3.45 
 BTree,   65536,     0.89, 1767.40,       376.02,     48.74,      31.24,          7.14,     506.15, 1750000, 0.21, 1.00, 3.49 
 BTree,  262144,     0.98, 1954.01,       372.44,     56.78,      36.02,          7.49,     559.60, 1750000, 0.19, 1.00, 3.49 
 FITing,     128,     0.65, 1293.22,       409.44,     28.07,      12.30,          6.00,     373.86, 1750000, 0.32, 1.00, 3.46 
 FITing,       8,     0.64, 1268.43,       396.85,     26.01,       8.77,          5.17,     365.92, 1750000, 0.31, 1.00, 3.47 
 FITing,      16,     0.63, 1236.67,       394.90,     25.84,       8.99,          5.46,     357.84, 1750000, 0.32, 1.00, 3.46 
 FITing,      32,     0.63, 1243.12,       397.18,     26.11,       9.88,          5.60,     358.67, 1750000, 0.32, 1.00, 3.47 
 FITing,      64,     0.65, 1280.41,       402.38,     26.82,      11.15,          5.83,     369.47, 1750000, 0.31, 1.00, 3.47 
 FITing,     256,     0.66, 1308.33,       400.26,     29.94,      14.01,          6.38,     377.35, 1750000, 0.31, 1.00, 3.47 
 FITing,     512,     0.65, 1287.99,       400.15,     31.18,      14.91,          6.41,     371.53, 1750000, 0.31, 1.00, 3.47 
 FITing,    1024,     0.65, 1283.70,       397.46,     33.46,      16.71,          6.71,     371.14, 1750000, 0.31, 1.00, 3.46 
