index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 203.89,       233.51,      1.73,       1.48,          0.24,      83.00,        0.00,      60.45,             0.02,       11.13,              0.03,       0.00,             -nan, 100000, 1.15, 1.01, 2.46 
PGM,       4,     0.01, 263.85,       259.33,      1.71,       1.47,          0.26,     107.51,        0.00,      70.38,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 0.98, 1.01, 2.45 
PGM,       8,     0.01, 230.29,       242.24,      1.70,       1.46,          0.25,      93.79,        0.00,      65.35,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.05, 1.01, 2.46 
PGM,      32,     0.01, 207.43,       243.28,      1.70,       1.46,          0.26,      84.50,        0.00,      61.35,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.17, 1.01, 2.45 
PGM,      64,     0.01, 244.17,       276.66,      1.70,       1.46,          0.23,      99.48,        0.00,      68.18,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.13, 1.01, 2.45 
PGM,     256,     0.01, 217.84,       275.40,      1.70,       1.47,          0.32,      88.75,        0.00,      64.21,             0.01,       10.99,              0.03,       0.09,             -nan, 100000, 1.26, 1.01, 2.45 
PGM,    1024,     0.01, 188.61,       273.95,      1.70,       1.46,          0.31,      77.03,        0.00,      60.18,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.45, 1.02, 2.45 
PGM,    2048,     0.01, 220.35,       302.83,      1.70,       1.47,          0.24,      89.74,        0.00,      67.18,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.37, 1.01, 2.46 
PGM,    4096,     0.01, 183.81,       284.32,      1.70,       1.46,          0.23,      74.88,        0.00,      58.17,             0.01,        9.97,              0.03,       0.00,             -nan, 100000, 1.55, 1.01, 2.45 
PGM,    8192,     0.01, 193.91,       307.86,      1.71,       1.46,          0.23,      78.98,        0.00,      63.24,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.59, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 218.77,       182.08,      1.72,       1.47,          0.07,      89.12,        0.00,      58.97,             0.01,       21.05,              0.03,       0.00,             -nan, 100000, 0.83, 1.01, 2.45 
