index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 392.02,       251.28,     14.96,      14.67,          1.01,     163.43,        0.00,      65.37,             0.11,       65.97,              0.27,       -nan,             -nan, 10000, 0.64, 1.06, 2.40 
PGM,       4,     0.00, 436.01,       277.22,     14.78,      14.49,          0.97,     221.31,        0.00,      73.69,             0.08,       64.73,              0.27,       -nan,             -nan, 10000, 0.64, 1.06, 1.97 
PGM,       8,     0.00, 401.78,       260.36,     14.75,      14.50,          0.91,     167.25,        0.00,      68.25,             0.07,       64.56,              0.26,       -nan,             -nan, 10000, 0.65, 1.06, 2.40 
PGM,      32,     0.00, 374.27,       256.17,     14.75,      14.50,          0.97,     156.21,        0.00,      64.20,             0.07,       64.55,              0.27,       -nan,             -nan, 10000, 0.68, 1.07, 2.40 
PGM,      64,     0.00, 409.52,       289.08,     14.75,      14.51,          0.93,     170.41,        0.00,      70.84,             0.07,       64.58,              0.27,       -nan,             -nan, 10000, 0.71, 1.06, 2.40 
PGM,     256,     0.00, 375.67,       284.77,     14.76,      14.47,          0.99,     156.93,        0.00,      66.81,             0.07,       64.58,              0.26,       -nan,             -nan, 10000, 0.76, 1.07, 2.39 
PGM,    1024,     0.00, 346.45,       280.77,     14.77,      14.52,          0.99,     151.16,        0.00,      62.80,             0.07,       64.57,              0.26,       -nan,             -nan, 10000, 0.81, 1.07, 2.29 
PGM,    2048,     0.00, 388.24,       317.78,     14.77,      14.51,          0.94,     161.84,        0.00,      69.81,             0.07,       64.57,              0.26,       -nan,             -nan, 10000, 0.82, 1.07, 2.40 
PGM,    4096,     0.00, 349.85,       291.73,     14.77,      14.51,          0.95,     146.38,        0.00,      60.79,             0.08,       63.55,              0.27,       -nan,             -nan, 10000, 0.83, 1.07, 2.39 
PGM,    8192,     0.00, 358.62,       315.56,     14.79,      14.51,          0.92,     149.94,        0.00,      65.97,             0.08,       64.56,              0.27,       -nan,             -nan, 10000, 0.88, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 384.47,       198.75,     14.86,      14.59,          0.70,     160.42,        0.00,      62.60,             0.10,       75.88,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 380.45,       196.79,     14.80,      14.53,          0.70,     158.74,        0.00,      62.15,             0.09,       75.48,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 378.59,       196.18,     14.79,      14.52,          0.70,     157.91,        0.00,      61.92,             0.09,       75.43,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 385.18,       195.78,     14.79,      14.52,          0.70,     148.69,        0.00,      61.81,             0.09,       75.40,              0.27,       -nan,             -nan, 10000, 0.51, 1.07, 2.59 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 378.07,       196.20,     14.80,      14.51,          0.71,     157.76,        0.00,      61.89,             0.09,       75.39,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
