index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.53, 3043.81,       972.09,     15.25,       9.04,          4.01,     874.36, 1750000, 0.32, 1.00, 3.48 
   RMI,       1,     1.54, 3070.26,       976.10,     17.60,      10.63,          4.46,     879.31, 1750000, 0.32, 1.00, 3.49 
   RMI,       2,     1.57, 3126.09,       979.03,     20.47,      12.43,          4.70,     895.27, 1750000, 0.31, 1.00, 3.49 
   RMI,       3,     0.74, 1474.05,       412.08,     24.48,      14.33,          4.72,     422.20, 1750000, 0.28, 1.00, 3.49 
   RMI,       4,     1.69, 3374.72,      1016.45,     30.45,      18.88,          5.59,     966.48, 1750000, 0.30, 1.00, 3.49 
   RMI,       5,     1.73, 3458.54,      1019.56,     33.69,      21.25,          5.92,     990.48, 1750000, 0.29, 1.00, 3.49 
   RMI,       6,     0.94, 1871.35,       455.53,     38.36,      23.81,          5.93,     535.94, 1750000, 0.24, 1.00, 3.49 
   RMI,       7,     1.29, 2573.85,       681.26,     43.59,      27.86,          6.44,     737.12, 1750000, 0.26, 1.00, 3.49 
   RMI,       8,     1.59, 3167.35,       739.94,     61.05,      36.62,          7.90,     907.10, 1750000, 0.23, 1.00, 3.49 
   RMI,       9,     1.79, 3567.24,       770.56,     72.80,      41.11,          8.73,    1021.64, 1750000, 0.22, 1.00, 3.49 
    RS,       1,     0.60, 1185.77,       379.76,     11.41,       6.14,          3.03,     342.32, 1750000, 0.32, 1.00, 3.46 
    RS,       2,     0.64, 1258.90,       417.57,     14.46,       7.88,          3.90,     363.20, 1750000, 0.33, 1.00, 3.47 
    RS,       3,     0.63, 1249.00,       397.08,     14.36,       7.46,          3.72,     360.39, 1750000, 0.32, 1.00, 3.47 
    RS,       4,     0.66, 1302.91,       411.41,     16.77,       8.64,          4.05,     375.84, 1750000, 0.32, 1.00, 3.47 
    RS,       5,     0.69, 1359.00,       423.45,     19.50,      10.02,          4.32,     391.87, 1750000, 0.31, 1.00, 3.47 
    RS,       6,     0.72, 1421.50,       432.39,     22.75,      11.69,          4.65,     409.55, 1750000, 0.30, 1.00, 3.47 
    RS,       7,     0.75, 1492.52,       436.68,     26.44,      13.96,          5.15,     430.25, 1750000, 0.29, 1.00, 3.47 
    RS,       8,     0.74, 1473.32,       495.56,     26.89,      10.94,          6.42,     425.64, 1750000, 0.34, 1.00, 3.46 
    RS,       9,     0.79, 1559.95,       512.97,     31.56,      13.18,          7.21,     449.41, 1750000, 0.33, 1.00, 3.47 
    RS,      10,     0.79, 1568.88,       512.97,     31.50,      13.16,          7.21,     453.05, 1750000, 0.33, 1.00, 3.46 
