index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.69, 2937.39,       975.97,      9.45,       7.96,          3.14,     843.57, 2000000, 0.33, 1.00, 3.48 
   RMI,       1,     1.70, 2965.49,       980.73,     11.02,       9.29,          3.61,     849.27, 2000000, 0.33, 1.00, 3.49 
   RMI,       2,     1.73, 3016.88,       982.59,     12.73,      10.91,          3.79,     864.00, 2000000, 0.33, 1.00, 3.49 
   RMI,       3,     0.76, 1332.61,       416.19,     15.06,      12.59,          3.81,     381.63, 2000000, 0.31, 1.00, 3.49 
   RMI,       4,     1.82, 3186.08,      1020.32,     19.15,      16.43,          4.49,     912.44, 2000000, 0.32, 1.00, 3.49 
   RMI,       5,     1.84, 3211.85,      1026.03,     21.52,      18.50,          5.25,     919.82, 2000000, 0.32, 1.00, 3.49 
   RMI,       6,     0.94, 1637.49,       463.04,     25.15,      20.75,          4.78,     468.94, 2000000, 0.28, 1.00, 3.49 
   RMI,       7,     1.32, 2296.06,       681.44,     29.66,      24.28,          5.16,     657.67, 2000000, 0.30, 1.00, 3.49 
   RMI,       8,     1.57, 2738.31,       744.17,     43.25,      31.92,          6.28,     784.27, 2000000, 0.27, 1.00, 3.49 
   RMI,       9,     1.74, 3034.48,       773.58,     53.17,      35.88,          6.92,     869.04, 2000000, 0.25, 1.00, 3.49 
    RS,       1,     0.63, 1084.34,       389.01,      7.27,       5.33,          2.39,     313.89, 2000000, 0.36, 1.00, 3.45 
    RS,       2,     0.67, 1160.91,       422.02,      9.19,       6.91,          3.07,     335.71, 2000000, 0.36, 1.00, 3.46 
    RS,       3,     0.65, 1122.67,       398.76,      9.10,       6.49,          2.94,     323.88, 2000000, 0.36, 1.00, 3.47 
    RS,       4,     0.68, 1177.07,       413.82,     10.10,       7.55,          3.20,     339.45, 2000000, 0.35, 1.00, 3.47 
    RS,       5,     0.71, 1225.15,       427.64,     11.75,       8.77,          3.48,     353.71, 2000000, 0.35, 1.00, 3.46 
    RS,       6,     0.73, 1263.57,       431.92,     13.75,      10.14,          3.77,     364.21, 2000000, 0.34, 1.00, 3.47 
    RS,       7,     0.77, 1338.70,       438.70,     16.07,      12.05,          4.06,     386.64, 2000000, 0.33, 1.00, 3.46 
