index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 281.96,       279.02,      1.73,       1.48,          0.27,     114.91,        0.00,      72.50,             0.02,       11.12,              0.03,       0.00,             -nan, 100000, 0.99, 1.01, 2.45 
PGM,       4,     0.01, 251.82,       252.98,      1.71,       1.47,          0.09,     102.59,        0.00,      70.44,             0.01,       11.00,              0.03,       0.00,             -nan, 100000, 1.00, 1.01, 2.45 
PGM,       8,     0.01, 267.69,       269.37,      1.71,       1.46,          0.24,     100.86,        0.00,      71.37,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.01, 1.01, 2.65 
PGM,      32,     0.01, 247.55,       264.79,      1.70,       1.46,          0.24,     105.14,        0.00,      67.23,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.35 
PGM,      64,     0.01, 249.86,       276.70,      1.70,       1.46,          0.26,     101.79,        0.00,      68.23,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.11, 1.01, 2.45 
PGM,     256,     0.01, 252.59,       297.40,      1.71,       1.46,          0.31,     102.95,        0.00,      70.20,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.18, 1.01, 2.45 
PGM,    1024,     0.01, 245.82,       304.74,      1.71,       1.46,          0.24,     104.39,        0.00,      72.20,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.24, 1.01, 2.35 
PGM,    2048,     0.01, 221.69,       302.33,      1.71,       1.46,          0.26,      90.31,        0.00,      67.20,             0.01,       10.99,              0.03,       0.00,             -nan, 100000, 1.36, 1.01, 2.45 
PGM,    4096,     0.01, 218.11,       308.35,      1.72,       1.46,          0.24,      88.84,        0.00,      64.20,             0.01,        9.98,              0.03,       0.00,             -nan, 100000, 1.41, 1.01, 2.46 
PGM,    8192,     0.01, 228.69,       328.53,      1.72,       1.46,          0.24,      93.18,        0.00,      69.20,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.44, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 264.61,       193.26,      1.72,       1.47,          0.15,     107.84,        0.00,      61.83,             0.01,       21.06,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       4,     0.01, 263.49,       194.24,      1.72,       1.47,          0.15,     111.92,        0.00,      61.77,             0.01,       21.02,              0.03,       0.00,             -nan, 100000, 0.74, 1.01, 2.35 
PGMCacheL (0, 0.000000, 0),       8,     0.01, 259.17,       187.65,      1.72,       1.47,          0.15,     105.58,        0.00,      61.76,             0.01,       21.02,              0.03,       0.00,             -nan, 100000, 0.72, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      32,     0.01, 256.13,       187.26,      1.72,       1.46,          0.14,     104.34,        0.00,      61.75,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      64,     0.01, 255.18,       187.12,      1.72,       1.46,          0.14,     103.94,        0.00,      61.75,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),     256,     0.01, 257.78,       187.58,      1.72,       1.46,          0.15,     104.99,        0.00,      61.77,             0.01,       21.02,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),    1024,     0.01, 256.28,       187.60,      1.72,       1.47,          0.15,     104.40,        0.00,      61.76,             0.01,       21.02,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    2048,     0.01, 265.76,       194.21,      1.72,       1.46,          0.14,     110.92,        0.00,      61.75,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.40 
PGMCacheL (0, 0.000000, 0),    4096,     0.01, 256.17,       187.27,      1.72,       1.47,          0.15,     104.36,        0.00,      61.78,             0.01,       21.04,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    8192,     0.01, 264.80,       193.24,      1.72,       1.46,          0.14,     107.84,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),      16,     0.01, 262.84,       195.62,      1.72,       1.47,          0.15,     116.58,        0.00,      61.80,             0.01,       21.05,              0.03,       0.00,             0.12, 100000, 0.74, 1.01, 2.25 
PGMCacheR (0, 0.000000, 0),       4,     0.01, 257.46,       191.92,      1.72,       1.46,          0.14,     114.62,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.75, 1.01, 2.25 
PGMCacheR (0, 0.000000, 0),       8,     0.01, 266.87,       193.35,      1.72,       1.46,          0.14,     108.72,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.72, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      32,     0.01, 263.72,       193.23,      1.72,       1.46,          0.14,     107.45,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      64,     0.01, 255.99,       187.28,      1.72,       1.47,          0.14,     104.28,        0.00,      61.78,             0.01,       21.04,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),     256,     0.01, 256.17,       187.64,      1.72,       1.46,          0.15,     104.34,        0.00,      61.78,             0.02,       21.04,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),    1024,     0.01, 263.69,       193.30,      1.72,       1.46,          0.14,     107.46,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    2048,     0.01, 255.24,       187.43,      1.72,       1.46,          0.14,     103.98,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    4096,     0.01, 255.98,       187.09,      1.72,       1.46,          0.14,     104.26,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),    8192,     0.01, 255.70,       187.59,      1.72,       1.46,          0.14,     104.16,        0.00,      61.76,             0.02,       21.03,              0.03,       0.00,             -nan, 100000, 0.73, 1.01, 2.45 
