index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 455.03,       304.08,     14.91,      14.67,          0.57,     188.66,        0.00,      77.30,             0.10,       65.86,              0.28,       -nan,             -nan, 10000, 0.67, 1.06, 2.41 
PGM,       4,     0.00, 412.33,       275.79,     14.74,      14.54,          0.29,     171.59,        0.00,      73.37,             0.07,       64.62,              0.27,       -nan,             -nan, 10000, 0.67, 1.06, 2.40 
PGM,       8,     0.00, 416.44,       285.89,     14.72,      14.48,          0.45,     173.02,        0.00,      74.18,             0.07,       64.55,              0.27,       -nan,             -nan, 10000, 0.69, 1.06, 2.41 
PGM,      32,     0.00, 398.52,       280.42,     14.71,      14.50,          0.45,     165.93,        0.00,      70.06,             0.07,       64.57,              0.27,       -nan,             -nan, 10000, 0.70, 1.06, 2.40 
PGM,      64,     0.00, 394.12,       291.39,     14.71,      14.50,          0.45,     171.02,        0.00,      71.05,             0.07,       64.57,              0.26,       -nan,             -nan, 10000, 0.74, 1.06, 2.30 
PGM,     256,     0.00, 402.27,       313.08,     14.71,      14.49,          0.52,     161.12,        0.00,      73.02,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.78, 1.06, 2.50 
PGM,    1024,     0.00, 406.82,       335.11,     14.72,      14.50,          0.44,     169.45,        0.00,      75.03,             0.07,       64.57,              0.26,       -nan,             -nan, 10000, 0.82, 1.06, 2.40 
PGM,    2048,     0.00, 380.54,       320.29,     14.73,      14.50,          0.46,     152.77,        0.00,      70.05,             0.07,       64.59,              0.26,       -nan,             -nan, 10000, 0.84, 1.07, 2.49 
PGM,    4096,     0.00, 374.35,       320.10,     14.73,      14.52,          0.45,     150.28,        0.00,      67.03,             0.07,       63.58,              0.27,       -nan,             -nan, 10000, 0.86, 1.07, 2.49 
PGM,    8192,     0.00, 373.91,       342.17,     14.74,      14.51,          0.45,     156.12,        0.00,      72.04,             0.07,       64.57,              0.27,       -nan,             -nan, 10000, 0.92, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 349.60,       186.01,     14.80,      14.55,          0.36,     146.33,        0.00,      59.90,             0.09,       75.15,              0.28,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 351.00,       183.92,     14.75,      14.53,          0.35,     146.89,        0.00,      59.35,             0.08,       74.82,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.39 
