index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.83, 1641.03,       747.96,      6.78,       3.88,          2.07,     472.67, 1750000, 0.46, 1.00, 3.47 
   RMI,       1,     0.83, 1658.21,       740.45,      7.28,       4.14,          2.52,     474.93, 1750000, 0.45, 1.00, 3.49 
   RMI,       2,     0.83, 1650.57,       742.93,      7.46,       4.25,          2.80,     472.73, 1750000, 0.45, 1.00, 3.49 
   RMI,       3,     0.81, 1607.12,       750.97,      8.20,       4.66,          3.75,     460.26, 1750000, 0.47, 1.00, 3.49 
   RMI,       4,     0.83, 1658.51,       755.83,      9.07,       5.04,          3.21,     475.00, 1750000, 0.46, 1.00, 3.49 
   RMI,       5,     0.84, 1678.72,       761.61,     10.26,       5.64,          3.57,     480.80, 1750000, 0.45, 1.00, 3.49 
   RMI,       6,     0.84, 1685.23,       761.65,     11.88,       6.68,          3.80,     482.64, 1750000, 0.45, 1.00, 3.49 
   RMI,       7,     0.91, 1818.12,       790.48,     18.07,      10.62,          4.71,     520.74, 1750000, 0.43, 1.00, 3.49 
   RMI,       8,     1.31, 2608.70,       855.73,     40.62,      27.33,          6.77,     747.21, 1750000, 0.33, 1.00, 3.49 
   RMI,       9,     1.41, 2812.96,       708.61,     49.49,      31.67,          7.53,     805.63, 1750000, 0.25, 1.00, 3.49 
    RS,       1,     0.56, 1105.19,       361.46,     10.35,       5.36,          2.43,     319.19, 1750000, 0.33, 1.00, 3.46 
    RS,       2,     0.58, 1139.20,       371.73,     11.19,       5.70,          2.92,     328.92, 1750000, 0.33, 1.00, 3.46 
    RS,       3,     0.59, 1165.46,       382.53,     12.25,       6.13,          3.10,     336.21, 1750000, 0.33, 1.00, 3.47 
    RS,       4,     0.59, 1161.40,       377.92,     12.94,       6.35,          3.30,     336.34, 1750000, 0.33, 1.00, 3.45 
    RS,       5,     0.61, 1210.49,       391.84,     14.69,       7.29,          3.58,     350.39, 1750000, 0.32, 1.00, 3.45 
    RS,       6,     0.63, 1257.30,       401.63,     16.79,       8.65,          3.82,     362.78, 1750000, 0.32, 1.00, 3.47 
    RS,       7,     0.66, 1300.71,       404.11,     19.42,      10.41,          4.24,     375.21, 1750000, 0.31, 1.00, 3.47 
    RS,       8,     0.70, 1383.96,       415.40,     23.57,      12.96,          4.65,     399.02, 1750000, 0.30, 1.00, 3.47 
    RS,       9,     0.63, 1240.14,       475.88,     20.09,       6.71,          5.93,     357.86, 1750000, 0.38, 1.00, 3.47 
    RS,      10,     0.64, 1275.86,       407.81,     19.26,      10.06,          4.42,     368.17, 1750000, 0.32, 1.00, 3.47 
   PGM,      16,     0.38, 746.79,       301.39,     14.72,       4.97,          3.71,     217.39, 1750000, 0.40, 1.00, 3.44 
   PGM,       4,     0.43, 851.41,       313.35,     15.63,       5.90,          4.26,     246.00, 1750000, 0.37, 1.00, 3.46 
   PGM,       8,     0.39, 777.82,       292.71,     13.99,       5.35,          3.59,     225.43, 1750000, 0.38, 1.00, 3.45 
   PGM,      32,     0.39, 772.66,       307.92,     15.00,       5.80,          4.12,     224.40, 1750000, 0.40, 1.00, 3.44 
   PGM,      64,     0.42, 834.99,       310.42,     15.00,       7.54,          4.44,     242.66, 1750000, 0.37, 1.00, 3.44 
   PGM,     256,     0.51, 1011.19,       329.81,     20.92,      12.69,          5.09,     293.09, 1750000, 0.33, 1.00, 3.45 
   PGM,    1024,     0.60, 1190.27,       321.68,     28.28,      18.71,          5.38,     343.54, 1750000, 0.27, 1.00, 3.46 
   PGM,    2048,     0.67, 1318.90,       329.44,     32.25,      21.99,          5.70,     380.37, 1750000, 0.25, 1.00, 3.47 
   PGM,    4096,     0.74, 1470.99,       343.95,     36.13,      25.05,          5.90,     424.81, 1750000, 0.23, 1.00, 3.46 
   PGM,    8192,     0.82, 1629.84,       353.11,     39.12,      26.87,          6.80,     470.26, 1750000, 0.22, 1.00, 3.47 
 PGMMod,      16,     0.39, 762.88,       308.57,     14.77,       4.98,          3.70,     221.98, 1750000, 0.40, 1.00, 3.44 
 PGMMod,       4,     0.42, 826.80,       313.34,     13.88,       5.65,          3.60,     239.33, 1750000, 0.38, 1.00, 3.45 
 PGMMod,       8,     0.39, 778.42,       292.71,     13.92,       5.32,          3.62,     225.62, 1750000, 0.38, 1.00, 3.45 
 PGMMod,      32,     0.40, 775.96,       307.92,     15.00,       5.83,          4.27,     225.79, 1750000, 0.40, 1.00, 3.44 
 PGMMod,      64,     0.42, 832.44,       310.42,     14.99,       7.55,          4.65,     241.09, 1750000, 0.37, 1.00, 3.45 
