index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1232.34,       717.51,     16.30,      14.80,          0.90,     502.22,        0.22,     204.56,             2.76,      225.83,              1.59,       0.01,             -nan, 10000, 0.58, 1.02, 2.45 
PGM,       4,     0.00, 810.21,       486.24,     15.50,      14.69,          0.62,     330.89,        0.11,     136.30,             1.44,      142.75,              0.94,       -nan,             -nan, 10000, 0.60, 1.03, 2.45 
PGM,       8,     0.00, 352.94,       232.74,     14.72,      14.51,          0.44,     147.69,        0.00,      62.10,             0.07,       64.60,              0.26,       -nan,             -nan, 10000, 0.66, 1.07, 2.39 
PGM,      32,     0.00, 740.18,       456.08,     15.40,      14.67,          0.60,     303.08,        0.10,     124.51,             1.25,      133.65,              0.86,       -nan,             -nan, 10000, 0.62, 1.03, 2.44 
PGM,      64,     0.00, 362.67,       265.09,     14.72,      14.50,          0.44,     151.55,        0.00,      65.03,             0.07,       64.58,              0.27,       -nan,             -nan, 10000, 0.73, 1.07, 2.39 
PGM,     256,     0.00, 369.85,       287.13,     14.71,      14.52,          0.51,     154.51,        0.00,      67.04,             0.07,       64.59,              0.26,       -nan,             -nan, 10000, 0.78, 1.07, 2.39 
PGM,    1024,     0.00, 342.61,       283.14,     14.72,      14.52,          0.51,     143.49,        0.00,      63.05,             0.07,       64.60,              0.26,       -nan,             -nan, 10000, 0.83, 1.07, 2.39 
PGM,    2048,     0.00, 335.30,       294.20,     14.71,      14.51,          0.45,     146.49,        0.00,      64.05,             0.07,       64.60,              0.26,       -nan,             -nan, 10000, 0.88, 1.08, 2.29 
PGM,    4096,     0.00, 339.57,       294.16,     14.72,      14.50,          0.44,     142.41,        0.00,      61.06,             0.07,       63.60,              0.27,       -nan,             -nan, 10000, 0.87, 1.08, 2.38 
PGM,    8192,     0.00, 344.68,       316.10,     14.72,      14.52,          0.44,     144.38,        0.00,      66.04,             0.07,       64.59,              0.26,       -nan,             -nan, 10000, 0.92, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 318.35,       173.54,     14.77,      14.54,          0.41,     133.88,        0.00,      57.29,             0.09,       75.11,              0.26,       -nan,             -nan, 10000, 0.55, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 316.24,       170.97,     14.76,      14.56,          0.41,     133.04,        0.00,      56.56,             0.08,       74.79,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 316.85,       171.13,     14.74,      14.53,          0.41,     133.31,        0.00,      56.63,             0.08,       74.77,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 316.99,       170.51,     14.73,      14.52,          0.39,     133.34,        0.00,      56.42,             0.08,       74.68,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 326.28,       171.24,     14.74,      14.54,          0.41,     126.86,        0.00,      56.64,             0.08,       74.77,              0.28,       -nan,             -nan, 10000, 0.52, 1.08, 2.57 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 320.67,       170.81,     14.73,      14.51,          0.39,     134.73,        0.00,      56.47,             0.08,       74.70,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 316.73,       170.66,     14.73,      14.51,          0.40,     133.12,        0.00,      56.44,             0.08,       74.68,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
