index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.58, 2015.72,       754.44,      9.14,       6.95,          2.23,     583.99, 1000000, 0.37, 1.00, 3.45 
   RMI,       1,     0.58, 2008.29,       744.63,      9.27,       7.14,          2.44,     581.83, 1000000, 0.37, 1.00, 3.45 
   RMI,       2,     0.58, 1985.43,       741.90,      9.34,       7.23,          2.67,     576.24, 1000000, 0.37, 1.00, 3.45 
   RMI,       3,     0.59, 2038.14,       761.80,     10.31,       8.18,          3.24,     591.26, 1000000, 0.37, 1.00, 3.45 
   RMI,       4,     0.60, 2081.55,       754.38,     11.02,       8.81,          3.60,     603.57, 1000000, 0.36, 1.00, 3.45 
   RMI,       5,     0.59, 2027.38,       760.34,     12.14,       9.81,          4.01,     587.47, 1000000, 0.38, 1.00, 3.45 
   RMI,       6,     0.60, 2072.26,       767.66,     14.16,      11.64,          4.85,     597.50, 1000000, 0.37, 1.00, 3.47 
   RMI,       7,     0.64, 2229.18,       789.00,     21.41,      18.58,          5.84,     644.29, 1000000, 0.35, 1.00, 3.46 
   RMI,       8,     1.01, 3524.82,       854.53,     52.27,      47.45,          9.32,    1009.46, 1000000, 0.24, 1.00, 3.49 
   RMI,       9,     1.07, 3731.27,       707.41,     65.27,      55.42,         10.47,    1068.62, 1000000, 0.19, 1.00, 3.49 
    RS,       1,     0.41, 1422.26,       360.57,     12.66,       9.34,          2.62,     412.01, 1000000, 0.25, 1.00, 3.45 
    RS,       2,     0.43, 1483.50,       372.48,     13.54,      10.01,          3.28,     429.90, 1000000, 0.25, 1.00, 3.45 
    RS,       3,     0.44, 1515.65,       386.98,     14.39,      10.66,          3.40,     438.75, 1000000, 0.26, 1.00, 3.45 
    RS,       4,     0.43, 1506.56,       377.43,     14.81,      10.91,          3.61,     434.85, 1000000, 0.25, 1.00, 3.46 
    RS,       5,     0.46, 1585.38,       395.42,     16.90,      12.67,          4.03,     459.85, 1000000, 0.25, 1.00, 3.45 
    RS,       6,     0.49, 1675.26,       406.49,     19.48,      15.07,          4.58,     486.25, 1000000, 0.24, 1.00, 3.45 
    RS,       7,     0.50, 1738.14,       403.41,     22.46,      17.98,          5.09,     502.46, 1000000, 0.23, 1.00, 3.46 
    RS,       8,     0.54, 1880.17,       414.39,     27.28,      22.53,          5.81,     542.68, 1000000, 0.22, 1.00, 3.46 
    RS,       9,     0.48, 1666.74,       474.56,     23.72,      11.67,          7.89,     483.83, 1000000, 0.28, 1.00, 3.44 
    RS,      10,     0.49, 1698.13,       406.90,     22.37,      17.66,          5.45,     491.15, 1000000, 0.24, 1.00, 3.46 
   PGM,      16,     0.33, 1143.25,       299.39,     19.21,       8.76,          6.89,     331.84, 1000000, 0.26, 1.00, 3.45 
   PGM,       4,     0.36, 1231.56,       311.40,     16.79,       9.86,          6.14,     357.62, 1000000, 0.25, 1.00, 3.44 
   PGM,       8,     0.35, 1181.35,       291.94,     17.25,       9.39,          6.21,     345.03, 1000000, 0.25, 1.00, 3.42 
   PGM,      32,     0.34, 1176.86,       305.80,     18.71,      10.11,          7.38,     341.71, 1000000, 0.26, 1.00, 3.44 
   PGM,      64,     0.37, 1278.30,       297.90,     19.60,      13.07,          7.79,     370.73, 1000000, 0.23, 1.00, 3.45 
   PGM,     256,     0.45, 1566.14,       328.59,     28.29,      22.14,          8.76,     452.94, 1000000, 0.21, 1.00, 3.46 
   PGM,    1024,     0.55, 1914.70,       320.21,     39.04,      32.65,          9.19,     553.01, 1000000, 0.17, 1.00, 3.46 
   PGM,    2048,     0.62, 2146.12,       328.06,     44.90,      38.38,          9.87,     621.30, 1000000, 0.15, 1.00, 3.45 
   PGM,    4096,     0.68, 2361.37,       342.48,     50.27,      43.54,         10.19,     680.94, 1000000, 0.15, 1.00, 3.47 
   PGM,    8192,     0.76, 2626.03,       351.28,     54.74,      46.85,         11.75,     758.16, 1000000, 0.13, 1.00, 3.46 
 BTree,      32,     0.53, 1863.01,       379.95,     29.39,      15.70,         11.02,     533.53, 1000000, 0.20, 1.00, 3.49 
 BTree,       1,     0.70, 2413.81,       384.74,     34.54,      18.97,          9.57,     695.71, 1000000, 0.16, 1.00, 3.47 
 BTree,       4,     0.61, 2106.81,       373.42,     30.65,      15.78,         10.52,     606.62, 1000000, 0.18, 1.00, 3.47 
 BTree,      16,     0.54, 1901.15,       378.85,     29.23,      15.42,         10.73,     544.48, 1000000, 0.20, 1.00, 3.49 
 BTree,      64,     0.53, 1852.79,       373.00,     30.94,      16.43,         11.62,     530.60, 1000000, 0.20, 1.00, 3.49 
 BTree,     128,     0.54, 1857.62,       383.17,     32.68,      18.69,         11.88,     535.25, 1000000, 0.21, 1.00, 3.47 
 BTree,     512,     0.55, 1931.35,       364.03,     39.12,      25.76,         12.81,     553.11, 1000000, 0.19, 1.00, 3.49 
 BTree,    1024,     0.57, 1974.21,       372.90,     44.04,      30.33,         12.94,     573.41, 1000000, 0.19, 1.00, 3.44 
 BTree,    4096,     0.65, 2254.63,       374.47,     51.93,      40.21,         12.99,     645.68, 1000000, 0.17, 1.00, 3.49 
 BTree,   16384,     0.77, 2686.58,       370.17,     58.51,      47.33,         13.87,     773.85, 1000000, 0.14, 1.00, 3.47 
 BTree,   65536,     0.86, 3012.68,       378.71,     67.35,      54.81,         13.54,     862.79, 1000000, 0.13, 1.00, 3.49 
