index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.12, 2220.85,       813.10,      5.83,       3.53,          1.85,     638.72, 1750000, 0.37, 1.00, 3.48 
   RMI,       1,     0.79, 1585.23,       564.18,      5.98,       3.56,          1.89,     454.00, 1750000, 0.36, 1.00, 3.49 
   RMI,       2,     0.79, 1577.30,       561.63,      6.39,       3.80,          2.01,     451.74, 1750000, 0.36, 1.00, 3.49 
   RMI,       3,     0.56, 1125.15,       366.53,      9.67,       5.01,          2.65,     322.24, 1750000, 0.33, 1.00, 3.49 
   RMI,       4,     0.82, 1642.03,       584.20,      8.83,       5.06,          2.86,     470.29, 1750000, 0.36, 1.00, 3.49 
   RMI,       5,     0.82, 1629.04,       581.76,      9.94,       5.58,          3.02,     466.55, 1750000, 0.36, 1.00, 3.49 
   RMI,       6,     1.15, 2300.46,       847.40,     13.94,       7.82,          4.45,     658.84, 1750000, 0.37, 1.00, 3.49 
   RMI,       7,     1.29, 2582.36,       876.49,     22.92,      14.05,          7.41,     739.57, 1750000, 0.34, 1.00, 3.49 
   RMI,       8,     1.03, 2063.41,       643.52,     28.14,      18.34,          5.28,     590.94, 1750000, 0.31, 1.00, 3.49 
   RMI,       9,     1.11, 2211.02,       655.61,     32.16,      21.22,          5.56,     633.29, 1750000, 0.30, 1.00, 3.49 
    RS,       1,     0.55, 1090.83,       351.12,      8.74,       4.67,          1.55,     316.13, 1750000, 0.32, 1.00, 3.45 
    RS,       2,     0.56, 1109.25,       395.83,     11.38,       6.24,          2.19,     321.39, 1750000, 0.36, 1.00, 3.45 
    RS,       3,     0.56, 1111.20,       365.24,      9.72,       5.13,          2.45,     321.51, 1750000, 0.33, 1.00, 3.46 
    RS,       4,     0.58, 1142.79,       367.64,     11.17,       5.72,          2.40,     329.96, 1750000, 0.32, 1.00, 3.46 
    RS,       5,     0.57, 1136.86,       370.32,     11.08,       5.61,          2.66,     328.26, 1750000, 0.33, 1.00, 3.46 
    RS,       6,     0.60, 1196.58,       382.17,     14.03,       7.13,          2.98,     345.22, 1750000, 0.32, 1.00, 3.47 
    RS,       7,     0.61, 1210.66,       439.01,     16.45,       6.82,          4.42,     350.47, 1750000, 0.36, 1.00, 3.45 
