index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.63, 2073.99,       585.33,     10.00,       7.90,          2.94,     600.16, 1050000, 0.28, 1.00, 3.46 
   RMI,       1,     0.65, 2133.99,       587.50,     11.14,       8.96,          3.24,     617.55, 1050000, 0.28, 1.00, 3.46 
   RMI,       2,     0.65, 2149.18,       582.92,     12.62,      10.39,          3.56,     622.99, 1050000, 0.27, 1.00, 3.45 
   RMI,       3,     0.70, 2298.36,       610.77,     16.81,      14.25,          4.31,     664.92, 1050000, 0.27, 1.00, 3.46 
   RMI,       4,     0.73, 2382.64,       606.74,     19.24,      16.58,          4.59,     690.60, 1050000, 0.25, 1.00, 3.45 
   RMI,       5,     0.75, 2465.37,       614.79,     22.12,      19.37,          4.94,     712.77, 1050000, 0.25, 1.00, 3.46 
   RMI,       6,     0.76, 2517.95,       615.56,     25.15,      22.25,          5.35,     726.40, 1050000, 0.24, 1.00, 3.47 
   RMI,       7,     0.78, 2580.35,       636.83,     31.37,      27.70,          6.06,     742.27, 1050000, 0.25, 1.00, 3.48 
   RMI,       8,     0.94, 3111.53,       661.77,     45.13,      40.75,          7.63,     891.13, 1050000, 0.21, 1.00, 3.49 
   RMI,       9,     1.03, 3436.42,       687.70,     52.90,      46.57,          8.36,     984.16, 1050000, 0.20, 1.00, 3.49 
    RS,       1,     0.89, 2935.61,       632.97,     56.13,      31.24,         13.36,     845.38, 1050000, 0.22, 1.00, 3.47 
    RS,       2,     0.79, 2600.07,       626.10,     46.86,      23.63,         13.61,     750.80, 1050000, 0.24, 1.00, 3.46 
    RS,       3,     0.77, 2552.63,       627.02,     46.68,      23.57,         13.59,     737.24, 1050000, 0.25, 1.00, 3.46 
    RS,       4,     0.72, 2383.57,       623.45,     45.29,      20.11,         13.66,     688.84, 1050000, 0.26, 1.00, 3.46 
    RS,       5,     0.71, 2331.83,       624.01,     45.42,      20.34,         13.72,     672.29, 1050000, 0.27, 1.00, 3.47 
    RS,       6,     0.70, 2313.64,       631.65,     45.80,      19.19,         13.65,     667.07, 1050000, 0.27, 1.00, 3.47 
    RS,       7,     0.69, 2260.75,       633.76,     48.68,      20.43,         14.07,     653.65, 1050000, 0.28, 1.00, 3.46 
    RS,       8,     0.67, 2225.63,       621.72,     48.53,      20.31,         13.86,     641.72, 1050000, 0.28, 1.00, 3.47 
    RS,       9,     0.68, 2235.97,       621.54,     48.52,      20.24,         14.00,     646.57, 1050000, 0.28, 1.00, 3.46 
    RS,      10,     0.67, 2226.00,       621.55,     48.50,      20.27,         13.96,     641.54, 1050000, 0.28, 1.00, 3.47 
   PGM,      16,     0.40, 1332.05,       294.42,     19.38,      10.75,          5.60,     385.51, 1050000, 0.22, 1.00, 3.46 
   PGM,       4,     0.44, 1457.55,       346.94,     27.30,      13.31,          6.06,     421.87, 1050000, 0.24, 1.00, 3.46 
   PGM,       8,     0.41, 1352.42,       314.40,     19.90,       9.77,          5.89,     393.65, 1050000, 0.23, 1.00, 3.44 
   PGM,      32,     0.44, 1432.81,       318.87,     20.11,      12.56,          5.65,     416.67, 1050000, 0.22, 1.00, 3.44 
   PGM,      64,     0.47, 1538.70,       342.61,     22.49,      14.87,          6.44,     446.49, 1050000, 0.22, 1.00, 3.45 
   PGM,     256,     0.48, 1567.40,       320.04,     29.64,      20.62,          7.74,     453.09, 1050000, 0.20, 1.00, 3.46 
   PGM,    1024,     0.55, 1807.45,       317.32,     35.98,      29.33,          7.81,     523.78, 1050000, 0.18, 1.00, 3.45 
   PGM,    2048,     0.61, 2001.17,       353.50,     41.11,      34.67,          8.46,     577.54, 1050000, 0.18, 1.00, 3.46 
   PGM,    4096,     0.66, 2188.48,       332.26,     46.26,      39.79,          8.96,     631.19, 1050000, 0.15, 1.00, 3.47 
   PGM,    8192,     0.73, 2419.87,       331.19,     48.79,      42.56,          8.70,     698.91, 1050000, 0.14, 1.00, 3.46 
 PGMMod,      16,     0.40, 1322.39,       294.38,     19.35,      10.74,          5.48,     383.12, 1050000, 0.22, 1.00, 3.45 
 PGMMod,       4,     0.44, 1438.09,       346.95,     20.22,      10.27,          5.75,     415.84, 1050000, 0.24, 1.00, 3.46 
 PGMMod,       8,     0.41, 1344.69,       314.38,     19.95,       9.85,          5.95,     390.94, 1050000, 0.23, 1.00, 3.44 
 PGMMod,      32,     0.44, 1439.23,       318.85,     20.06,      12.50,          6.05,     416.64, 1050000, 0.22, 1.00, 3.45 
 PGMMod,      64,     0.46, 1526.03,       340.23,     22.56,      14.88,          6.76,     441.44, 1050000, 0.22, 1.00, 3.46 
 PGMMod,     256,     0.48, 1590.82,       329.88,     29.60,      20.65,          7.58,     461.45, 1050000, 0.21, 1.00, 3.45 
 PGMMod,    1024,     0.54, 1779.49,       317.30,     36.03,      29.30,          7.77,     514.07, 1050000, 0.18, 1.00, 3.46 
 PGMMod,    2048,     0.61, 2017.14,       353.50,     41.04,      34.67,          8.43,     582.12, 1050000, 0.18, 1.00, 3.47 
 PGMMod,    4096,     0.66, 2184.66,       332.27,     46.32,      39.79,          8.97,     630.14, 1050000, 0.15, 1.00, 3.47 
 PGMMod,    8192,     0.72, 2368.32,       331.17,     48.60,      42.35,          8.62,     682.52, 1050000, 0.14, 1.00, 3.47 
 PGMCache,      16,     0.57, 1863.57,       822.28,     26.65,      10.65,          7.78,     538.13, 1050000, 0.44, 1.00, 3.46 
 PGMCache,       4,     0.60, 1967.50,       870.38,     27.54,      10.55,          8.09,     569.52, 1050000, 0.44, 1.00, 3.45 
 PGMCache,       8,     0.57, 1876.35,       840.70,     27.08,       9.74,          8.12,     541.85, 1050000, 0.45, 1.00, 3.46 
 PGMCache,      32,     0.59, 1954.43,       834.44,     27.19,      12.43,          7.98,     564.20, 1050000, 0.43, 1.00, 3.46 
 PGMCache,      64,     0.62, 2057.26,       866.42,     31.50,      15.04,          9.10,     595.05, 1050000, 0.42, 1.00, 3.46 
 PGMCache,     256,     0.64, 2115.15,       857.24,     36.90,      20.62,          9.71,     611.76, 1050000, 0.41, 1.00, 3.46 
 PGMCache,    1024,     0.71, 2333.99,       830.73,     43.90,      29.34,         10.07,     674.49, 1050000, 0.36, 1.00, 3.46 
 PGMCache,    2048,     0.77, 2535.29,       879.20,     48.74,      34.60,         10.69,     730.51, 1050000, 0.35, 1.00, 3.47 
 PGMCache,    4096,     0.83, 2730.43,       859.03,     54.10,      39.74,         11.33,     786.64, 1050000, 0.31, 1.00, 3.47 
 PGMCache,    8192,     0.89, 2923.85,       857.98,     56.82,      42.50,         11.02,     843.20, 1050000, 0.29, 1.00, 3.47 
 BTree,      32,     0.53, 1771.59,       375.67,     28.25,      14.00,          9.47,     507.37, 1050000, 0.21, 1.00, 3.49 
 BTree,       1,     0.67, 2223.15,       381.13,     30.83,      16.03,          7.82,     641.91, 1050000, 0.17, 1.00, 3.46 
 BTree,       4,     0.59, 1962.84,       369.17,     29.22,      13.59,          9.02,     566.64, 1050000, 0.19, 1.00, 3.46 
 BTree,      16,     0.54, 1797.71,       367.39,     27.94,      13.58,          9.26,     514.86, 1050000, 0.20, 1.00, 3.49 
 BTree,      64,     0.53, 1764.57,       376.79,     28.48,      14.73,          9.77,     505.38, 1050000, 0.21, 1.00, 3.49 
 BTree,     128,     0.53, 1755.03,       378.98,     29.84,      16.70,         10.17,     508.45, 1050000, 0.22, 1.00, 3.45 
 BTree,     512,     0.55, 1815.12,       368.70,     36.64,      23.67,         10.88,     519.88, 1050000, 0.20, 1.00, 3.49 
 BTree,    1024,     0.57, 1903.05,       369.83,     41.27,      27.70,         11.30,     545.03, 1050000, 0.19, 1.00, 3.49 
 BTree,    4096,     0.62, 2063.47,       371.51,     48.20,      35.58,         11.14,     590.98, 1050000, 0.18, 1.00, 3.49 
 BTree,   16384,     0.72, 2365.45,       374.53,     55.06,      42.89,         11.59,     681.92, 1050000, 0.16, 1.00, 3.47 
 BTree,   65536,     0.78, 2594.04,       376.09,     64.79,      50.09,         11.72,     742.95, 1050000, 0.14, 1.00, 3.49 
 BTree,  262144,     0.85, 2827.31,       372.04,     76.11,      56.66,         12.23,     814.19, 1050000, 0.13, 1.00, 3.47 
 FITing,     128,     0.61, 2003.60,       415.01,     32.64,      20.97,          9.91,     579.80, 1050000, 0.21, 1.00, 3.46 
 FITing,       8,     0.57, 1889.89,       398.08,     28.65,      14.41,          8.60,     547.06, 1050000, 0.21, 1.00, 3.45 
 FITing,      16,     0.59, 1934.34,       394.94,     28.48,      15.45,          9.07,     559.93, 1050000, 0.20, 1.00, 3.45 
 FITing,      32,     0.57, 1880.01,       395.88,     29.29,      16.39,          9.33,     542.93, 1050000, 0.21, 1.00, 3.46 
 FITing,      64,     0.59, 1926.20,       401.99,     30.76,      18.25,          9.66,     557.60, 1050000, 0.21, 1.00, 3.45 
 FITing,     256,     0.60, 1971.90,       401.92,     35.94,      22.60,         10.59,     570.57, 1050000, 0.20, 1.00, 3.46 
 FITing,     512,     0.59, 1955.01,       403.37,     38.67,      24.74,         10.57,     564.34, 1050000, 0.21, 1.00, 3.46 
 FITing,    1024,     0.60, 1974.58,       398.93,     41.66,      27.81,         11.13,     571.30, 1050000, 0.20, 1.00, 3.46 
