index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.91, 1589.09,       578.10,      5.34,       4.15,          2.17,     457.45, 2000000, 0.36, 1.00, 3.47 
   RMI,       1,     0.92, 1602.13,       583.47,      5.89,       4.68,          2.31,     458.83, 2000000, 0.36, 1.00, 3.49 
   RMI,       2,     0.94, 1616.31,       583.08,      6.65,       5.45,          2.56,     469.47, 2000000, 0.36, 1.00, 3.44 
   RMI,       3,     0.98, 1713.34,       605.81,      8.74,       7.47,          2.94,     490.67, 2000000, 0.35, 1.00, 3.49 
   RMI,       4,     1.00, 1745.94,       605.29,     10.05,       8.73,          3.16,     500.00, 2000000, 0.35, 1.00, 3.49 
   RMI,       5,     1.03, 1790.40,       614.56,     11.44,      10.13,          3.31,     512.75, 2000000, 0.34, 1.00, 3.49 
   RMI,       6,     1.05, 1828.76,       617.22,     13.35,      11.67,          3.47,     523.73, 2000000, 0.34, 1.00, 3.49 
   RMI,       7,     1.07, 1871.27,       636.70,     16.40,      14.53,          3.87,     535.91, 2000000, 0.34, 1.00, 3.49 
   RMI,       8,     1.27, 2213.74,       660.04,     24.04,      21.28,          5.22,     633.99, 2000000, 0.30, 1.00, 3.49 
   RMI,       9,     1.34, 2334.01,       687.79,     28.04,      24.44,          5.06,     668.41, 2000000, 0.29, 1.00, 3.49 
    RS,       1,     1.07, 1868.35,       631.90,     30.46,      16.36,          7.64,     537.41, 2000000, 0.34, 1.00, 3.48 
    RS,       2,     0.97, 1679.06,       625.82,     25.07,      12.43,          7.83,     483.45, 2000000, 0.37, 1.00, 3.47 
    RS,       3,     0.96, 1660.04,       627.51,     25.23,      12.25,          7.80,     478.71, 2000000, 0.38, 1.00, 3.47 
    RS,       4,     0.91, 1579.74,       622.98,     24.88,      10.56,          7.91,     454.87, 2000000, 0.39, 1.00, 3.47 
    RS,       5,     0.90, 1562.95,       623.86,     24.88,      10.68,          7.92,     450.87, 2000000, 0.40, 1.00, 3.47 
    RS,       6,     0.89, 1547.72,       626.89,     25.31,      10.09,          7.88,     445.68, 2000000, 0.41, 1.00, 3.47 
    RS,       7,     0.87, 1509.50,       627.86,     27.51,      10.64,          8.15,     434.65, 2000000, 0.42, 1.00, 3.47 
    RS,       8,     0.87, 1506.33,       621.54,     27.22,      10.59,          8.11,     434.66, 2000000, 0.41, 1.00, 3.47 
    RS,       9,     0.86, 1494.60,       621.44,     27.17,      10.57,          8.19,     430.37, 2000000, 0.42, 1.00, 3.47 
    RS,      10,     0.86, 1494.82,       621.44,     27.01,      10.58,          8.19,     430.42, 2000000, 0.42, 1.00, 3.47 
   PGM,      16,     0.46, 795.89,       292.62,     10.29,       5.66,          2.92,     230.26, 2000000, 0.37, 1.00, 3.46 
   PGM,       4,     0.52, 897.72,       346.35,     14.44,       6.98,          3.21,     259.43, 2000000, 0.39, 1.00, 3.46 
   PGM,       8,     0.48, 822.68,       311.23,     10.71,       5.18,          3.10,     238.66, 2000000, 0.38, 1.00, 3.45 
   PGM,      32,     0.49, 849.35,       309.77,     10.85,       6.59,          2.96,     246.29, 2000000, 0.36, 1.00, 3.45 
   PGM,      64,     0.53, 922.01,       339.63,     11.82,       7.82,          3.42,     266.43, 2000000, 0.37, 1.00, 3.46 
   PGM,     256,     0.53, 922.94,       318.22,     15.72,      10.79,          4.07,     267.38, 2000000, 0.34, 1.00, 3.45 
   PGM,    1024,     0.60, 1042.78,       316.90,     19.39,      15.48,          4.11,     301.68, 2000000, 0.30, 1.00, 3.46 
   PGM,    2048,     0.68, 1169.36,       350.45,     21.70,      18.32,          4.45,     337.93, 2000000, 0.30, 1.00, 3.46 
   PGM,    4096,     0.72, 1241.74,       330.17,     24.73,      21.00,          4.71,     357.95, 2000000, 0.27, 1.00, 3.47 
   PGM,    8192,     0.78, 1355.37,       329.84,     26.85,      22.41,          4.57,     390.47, 2000000, 0.24, 1.00, 3.47 
 PGMMod,      16,     0.46, 792.84,       292.60,     10.14,       5.62,          2.88,     229.39, 2000000, 0.37, 1.00, 3.46 
 PGMMod,       4,     0.51, 885.74,       346.36,     10.80,       5.41,          3.04,     256.80, 2000000, 0.39, 1.00, 3.45 
 PGMMod,       8,     0.47, 818.87,       311.22,     10.65,       5.18,          3.11,     236.84, 2000000, 0.38, 1.00, 3.46 
 PGMMod,      32,     0.49, 854.80,       311.70,     10.81,       6.59,          3.18,     247.14, 2000000, 0.36, 1.00, 3.46 
 PGMMod,      64,     0.53, 920.87,       338.39,     12.11,       7.84,          3.55,     266.17, 2000000, 0.37, 1.00, 3.46 
 PGMMod,     256,     0.54, 928.89,       323.43,     15.62,      10.77,          3.99,     268.35, 2000000, 0.35, 1.00, 3.46 
 PGMMod,    1024,     0.60, 1031.34,       316.90,     19.42,      15.43,          4.09,     298.43, 2000000, 0.31, 1.00, 3.46 
 PGMMod,    2048,     0.67, 1159.76,       350.44,     21.50,      18.19,          4.42,     334.59, 2000000, 0.30, 1.00, 3.47 
 PGMMod,    4096,     0.71, 1236.71,       330.17,     24.63,      20.85,          4.79,     356.63, 2000000, 0.27, 1.00, 3.47 
 PGMMod,    8192,     0.77, 1332.89,       329.83,     26.42,      22.23,          4.52,     383.83, 2000000, 0.25, 1.00, 3.47 
 PGMCache,      16,     0.63, 1090.53,       643.48,     14.06,       5.61,          4.03,     315.43, 2000000, 0.59, 1.00, 3.46 
 PGMCache,       4,     0.66, 1143.79,       668.72,     14.53,       5.48,          4.21,     329.79, 2000000, 0.58, 1.00, 3.47 
 PGMCache,       8,     0.64, 1104.98,       653.15,     14.29,       5.13,          4.24,     319.51, 2000000, 0.59, 1.00, 3.46 
 PGMCache,      32,     0.66, 1137.02,       639.95,     14.31,       6.56,          4.13,     327.97, 2000000, 0.56, 1.00, 3.47 
 PGMCache,      64,     0.69, 1199.39,       666.65,     16.60,       7.95,          4.72,     345.83, 2000000, 0.56, 1.00, 3.47 
 PGMCache,     256,     0.70, 1218.15,       661.88,     19.61,      10.76,          5.10,     351.19, 2000000, 0.54, 1.00, 3.47 
 PGMCache,    1024,     0.78, 1345.50,       637.94,     23.21,      15.46,          5.84,     387.67, 2000000, 0.47, 1.00, 3.47 
 PGMCache,    2048,     0.85, 1471.30,       673.36,     25.73,      18.18,          5.59,     424.42, 2000000, 0.46, 1.00, 3.47 
 PGMCache,    4096,     0.89, 1552.57,       662.77,     28.51,      20.88,          5.94,     447.09, 2000000, 0.43, 1.00, 3.47 
 PGMCache,    8192,     0.95, 1650.25,       662.22,     29.91,      22.29,          5.71,     475.67, 2000000, 0.40, 1.00, 3.47 
 BTree,      32,     0.57, 1002.28,       362.09,     14.47,       7.44,          4.97,     287.04, 2000000, 0.36, 1.00, 3.49 
 BTree,       1,     0.71, 1233.11,       374.48,     18.29,       8.87,          4.14,     355.45, 2000000, 0.30, 1.00, 3.47 
 BTree,       4,     0.64, 1107.18,       365.23,     15.55,       7.17,          4.71,     319.42, 2000000, 0.33, 1.00, 3.47 
 BTree,      16,     0.59, 1022.97,       363.92,     14.56,       7.20,          4.86,     292.97, 2000000, 0.36, 1.00, 3.49 
 BTree,      64,     0.57, 993.22,       367.02,     15.68,       7.84,          5.15,     284.45, 2000000, 0.37, 1.00, 3.49 
 BTree,     128,     0.57, 989.15,       370.47,     16.89,       8.79,          5.34,     286.50, 2000000, 0.37, 1.00, 3.45 
 BTree,     512,     0.59, 1023.84,       366.01,     20.35,      12.30,          5.70,     293.22, 2000000, 0.36, 1.00, 3.49 
 BTree,    1024,     0.61, 1053.53,       372.97,     23.61,      14.37,          5.92,     304.11, 2000000, 0.35, 1.00, 3.46 
 BTree,    4096,     0.67, 1165.88,       373.91,     28.27,      18.85,          5.87,     333.88, 2000000, 0.32, 1.00, 3.49 
 BTree,   16384,     0.81, 1396.23,       372.44,     33.12,      23.11,          6.10,     403.18, 2000000, 0.27, 1.00, 3.46 
 BTree,   65536,     0.91, 1583.46,       382.46,     38.53,      26.78,          6.18,     453.48, 2000000, 0.24, 1.00, 3.49 
 BTree,  262144,     1.00, 1744.12,       369.45,     45.27,      30.25,          6.40,     499.50, 2000000, 0.21, 1.00, 3.49 
 FITing,     128,     0.66, 1136.85,       410.30,     17.84,      11.00,          5.20,     327.90, 2000000, 0.36, 1.00, 3.47 
 FITing,       8,     0.62, 1080.44,       397.23,     15.64,       7.58,          4.51,     311.64, 2000000, 0.37, 1.00, 3.47 
 FITing,      16,     0.63, 1097.62,       391.49,     14.97,       8.10,          4.76,     316.66, 2000000, 0.36, 1.00, 3.47 
 FITing,      32,     0.62, 1072.41,       399.55,     16.59,       8.61,          4.89,     309.46, 2000000, 0.37, 1.00, 3.47 
 FITing,      64,     0.64, 1105.07,       407.72,     16.71,       9.60,          5.10,     319.55, 2000000, 0.37, 1.00, 3.46 
 FITing,     256,     0.64, 1113.61,       399.32,     20.42,      11.82,          5.57,     321.26, 2000000, 0.36, 1.00, 3.47 
 FITing,     512,     0.64, 1108.97,       400.73,     20.88,      13.00,          5.51,     319.92, 2000000, 0.36, 1.00, 3.47 
 FITing,    1024,     0.65, 1123.71,       404.36,     23.56,      14.52,          5.81,     324.87, 2000000, 0.36, 1.00, 3.46 
