index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.61, 2109.33,       585.28,     10.41,       8.27,          3.00,     610.59, 1000000, 0.28, 1.00, 3.45 
   RMI,       1,     0.62, 2146.17,       587.26,     11.51,       9.42,          3.31,     621.34, 1000000, 0.27, 1.00, 3.45 
   RMI,       2,     0.63, 2182.05,       581.97,     12.97,      10.90,          3.60,     633.36, 1000000, 0.27, 1.00, 3.45 
   RMI,       3,     0.67, 2330.21,       610.19,     17.11,      14.91,          4.34,     673.83, 1000000, 0.26, 1.00, 3.46 
   RMI,       4,     0.70, 2419.05,       605.85,     19.65,      17.44,          4.66,     701.86, 1000000, 0.25, 1.00, 3.45 
   RMI,       5,     0.72, 2487.64,       606.80,     22.56,      20.28,          5.01,     716.23, 1000000, 0.24, 1.00, 3.47 
   RMI,       6,     0.73, 2507.56,       614.54,     25.68,      23.19,          5.41,     725.74, 1000000, 0.25, 1.00, 3.46 
   RMI,       7,     0.73, 2542.26,       635.81,     32.18,      29.09,          6.05,     733.72, 1000000, 0.25, 1.00, 3.46 
   RMI,       8,     0.92, 3202.22,       667.91,     46.29,      42.69,          7.78,     917.09, 1000000, 0.21, 1.00, 3.49 
   RMI,       9,     0.98, 3426.67,       686.63,     54.48,      49.05,          8.47,     981.52, 1000000, 0.20, 1.00, 3.49 
    RS,       1,     0.87, 3013.99,       631.98,     57.26,      32.38,         13.88,     867.85, 1000000, 0.21, 1.00, 3.47 
    RS,       2,     0.76, 2654.35,       625.12,     48.09,      24.91,         14.09,     764.84, 1000000, 0.24, 1.00, 3.47 
    RS,       3,     0.76, 2629.04,       626.01,     47.76,      24.70,         14.06,     759.46, 1000000, 0.24, 1.00, 3.46 
    RS,       4,     0.71, 2460.67,       622.50,     46.30,      20.96,         14.15,     709.61, 1000000, 0.25, 1.00, 3.47 
    RS,       5,     0.73, 2504.32,       623.08,     46.31,      21.16,         14.20,     725.88, 1000000, 0.25, 1.00, 3.45 
    RS,       6,     0.69, 2387.96,       631.17,     46.75,      20.13,         14.18,     688.55, 1000000, 0.26, 1.00, 3.47 
    RS,       7,     0.67, 2335.15,       633.32,     49.71,      21.33,         14.58,     673.69, 1000000, 0.27, 1.00, 3.47 
    RS,       8,     0.66, 2297.89,       620.76,     49.48,      21.08,         14.62,     662.77, 1000000, 0.27, 1.00, 3.47 
    RS,       9,     0.66, 2294.90,       620.56,     49.50,      21.08,         14.61,     661.91, 1000000, 0.27, 1.00, 3.47 
    RS,      10,     0.68, 2358.44,       620.57,     49.49,      21.02,         14.51,     681.90, 1000000, 0.26, 1.00, 3.46 
