index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.37, 3180.51,       973.35,     16.27,      10.63,          4.22,     914.12, 1500000, 0.31, 1.00, 3.48 
   RMI,       1,     1.39, 3235.14,       976.87,     18.80,      12.54,          4.73,     926.52, 1500000, 0.30, 1.00, 3.49 
   RMI,       2,     1.42, 3308.64,       978.58,     21.76,      14.68,          4.98,     947.57, 1500000, 0.30, 1.00, 3.49 
   RMI,       3,     0.70, 1638.85,       413.13,     26.00,      17.03,          5.09,     469.37, 1500000, 0.25, 1.00, 3.49 
   RMI,       4,     1.53, 3566.83,      1016.85,     32.38,      22.07,          6.04,    1021.51, 1500000, 0.29, 1.00, 3.49 
   RMI,       5,     1.57, 3660.69,      1018.89,     35.91,      24.85,          6.37,    1048.41, 1500000, 0.28, 1.00, 3.49 
   RMI,       6,     0.89, 2072.54,       454.97,     40.95,      27.84,          6.44,     593.56, 1500000, 0.22, 1.00, 3.49 
   RMI,       7,     1.20, 2796.65,       680.07,     47.26,      32.48,          7.08,     800.90, 1500000, 0.24, 1.00, 3.49 
   RMI,       8,     1.49, 3463.64,       739.64,     66.77,      42.70,          8.79,     991.93, 1500000, 0.21, 1.00, 3.49 
   RMI,       9,     1.68, 3906.19,       769.92,     79.31,      48.00,          9.90,    1118.68, 1500000, 0.20, 1.00, 3.49 
    RS,       1,     0.56, 1285.66,       378.62,     12.48,       7.23,          3.13,     372.53, 1500000, 0.29, 1.00, 3.45 
    RS,       2,     0.60, 1373.32,       417.72,     15.75,       9.35,          4.16,     397.80, 1500000, 0.30, 1.00, 3.45 
    RS,       3,     0.58, 1338.46,       396.62,     15.36,       8.67,          3.89,     386.48, 1500000, 0.30, 1.00, 3.46 
    RS,       4,     0.61, 1412.01,       412.98,     17.95,      10.10,          4.30,     408.71, 1500000, 0.29, 1.00, 3.45 
    RS,       5,     0.64, 1475.01,       424.16,     20.85,      11.70,          4.66,     425.39, 1500000, 0.29, 1.00, 3.47 
    RS,       6,     0.67, 1542.54,       433.55,     24.28,      13.58,          5.00,     444.97, 1500000, 0.28, 1.00, 3.47 
    RS,       7,     0.72, 1656.23,       435.24,     28.34,      16.25,          5.57,     478.64, 1500000, 0.26, 1.00, 3.46 
    RS,       8,     0.71, 1626.86,       494.88,     28.64,      12.64,          7.13,     470.23, 1500000, 0.30, 1.00, 3.46 
    RS,       9,     0.74, 1703.60,       512.35,     33.45,      15.34,          7.98,     492.28, 1500000, 0.30, 1.00, 3.46 
    RS,      10,     0.73, 1696.39,       512.34,     33.42,      15.32,          8.01,     489.11, 1500000, 0.30, 1.00, 3.47 
   PGM,      16,     0.48, 1117.03,       372.10,     19.28,       7.27,          5.38,     322.86, 1500000, 0.33, 1.00, 3.46 
   PGM,       4,     0.51, 1171.85,       367.32,     27.85,       9.08,          6.21,     339.67, 1500000, 0.31, 1.00, 3.45 
   PGM,       8,     0.47, 1073.92,       365.69,     19.02,       6.56,          5.04,     310.83, 1500000, 0.34, 1.00, 3.46 
   PGM,      32,     0.48, 1113.92,       358.49,     20.05,       8.43,          5.27,     323.15, 1500000, 0.32, 1.00, 3.45 
   PGM,      64,     0.50, 1155.78,       365.57,     21.63,       9.80,          5.91,     335.07, 1500000, 0.32, 1.00, 3.45 
   PGM,     256,     0.54, 1242.90,       375.10,     26.73,      14.22,          6.99,     359.05, 1500000, 0.30, 1.00, 3.46 
   PGM,    1024,     0.64, 1484.01,       392.31,     33.22,      21.09,          7.24,     428.10, 1500000, 0.26, 1.00, 3.47 
   PGM,    2048,     0.68, 1572.83,       377.25,     37.34,      24.98,          7.46,     453.28, 1500000, 0.24, 1.00, 3.47 
   PGM,    4096,     0.76, 1765.50,       381.67,     41.00,      28.95,          7.78,     508.72, 1500000, 0.22, 1.00, 3.47 
   PGM,    8192,     0.86, 1980.19,       390.30,     43.65,      30.82,          8.27,     570.06, 1500000, 0.20, 1.00, 3.47 
