index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.03, 3580.68,       978.44,     18.45,      15.90,          4.74,    1031.94, 1000000, 0.27, 1.00, 3.47 
   RMI,       1,     1.05, 3641.45,       973.46,     21.28,      18.64,          5.33,    1049.85, 1000000, 0.27, 1.00, 3.47 
   RMI,       2,     1.06, 3690.56,       977.22,     24.62,      21.66,          5.75,    1056.95, 1000000, 0.26, 1.00, 3.49 
   RMI,       3,     0.56, 1956.68,       423.89,     29.33,      25.15,          5.94,     560.38, 1000000, 0.22, 1.00, 3.49 
   RMI,       4,     1.17, 4076.96,      1019.55,     36.92,      32.93,          7.18,    1167.62, 1000000, 0.25, 1.00, 3.49 
   RMI,       5,     1.18, 4115.97,      1017.31,     41.56,      37.12,          7.55,    1179.10, 1000000, 0.25, 1.00, 3.49 
   RMI,       6,     0.77, 2690.60,       454.12,     47.65,      41.82,          7.86,     770.68, 1000000, 0.17, 1.00, 3.49 
   RMI,       7,     0.97, 3387.14,       685.68,     56.53,      48.67,          8.67,     970.18, 1000000, 0.20, 1.00, 3.49 
   RMI,       8,     1.24, 4324.60,       731.19,     81.60,      63.72,         10.87,    1238.72, 1000000, 0.17, 1.00, 3.49 
   RMI,       9,     1.37, 4796.18,       769.36,     97.98,      71.93,         12.06,    1374.00, 1000000, 0.16, 1.00, 3.49 
    RS,       1,     0.45, 1551.34,       378.80,     14.08,      10.53,          3.43,     448.51, 1000000, 0.24, 1.00, 3.46 
    RS,       2,     0.48, 1672.59,       417.64,     18.09,      14.05,          4.86,     483.26, 1000000, 0.25, 1.00, 3.46 
    RS,       3,     0.48, 1641.15,       396.41,     17.14,      13.17,          4.37,     477.59, 1000000, 0.24, 1.00, 3.44 
    RS,       4,     0.50, 1728.34,       415.85,     19.85,      15.11,          4.85,     500.30, 1000000, 0.24, 1.00, 3.45 
    RS,       5,     0.53, 1821.17,       427.74,     23.19,      17.85,          5.35,     526.25, 1000000, 0.23, 1.00, 3.46 
    RS,       6,     0.55, 1915.38,       437.62,     26.90,      20.84,          5.93,     553.40, 1000000, 0.23, 1.00, 3.46 
    RS,       7,     0.59, 2020.04,       434.57,     31.35,      24.30,          6.47,     585.24, 1000000, 0.22, 1.00, 3.45 
    RS,       8,     0.58, 2025.90,       493.88,     31.72,      20.40,          9.13,     584.88, 1000000, 0.24, 1.00, 3.46 
    RS,       9,     0.62, 2138.81,       511.67,     37.06,      23.71,         10.21,     617.24, 1000000, 0.24, 1.00, 3.47 
    RS,      10,     0.62, 2134.43,       511.64,     37.02,      23.67,         10.16,     615.96, 1000000, 0.24, 1.00, 3.47 
   PGM,      16,     0.44, 1514.69,       371.11,     28.70,      13.19,          7.69,     438.67, 1000000, 0.25, 1.00, 3.45 
   PGM,       4,     0.41, 1408.04,       366.25,     21.01,       9.54,          6.98,     409.35, 1000000, 0.26, 1.00, 3.44 
   PGM,       8,     0.42, 1427.87,       364.91,     20.98,       9.78,          7.27,     415.18, 1000000, 0.26, 1.00, 3.44 
   PGM,      32,     0.44, 1514.23,       357.47,     22.88,      12.56,          8.00,     438.31, 1000000, 0.24, 1.00, 3.45 
