index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.75, 1726.69,       750.00,      7.52,       4.56,          2.16,     497.34, 1500000, 0.43, 1.00, 3.47 
   RMI,       1,     0.74, 1728.70,       741.97,      8.07,       4.80,          2.35,     495.10, 1500000, 0.43, 1.00, 3.49 
   RMI,       2,     0.74, 1731.15,       743.31,      8.25,       4.97,          2.84,     495.83, 1500000, 0.43, 1.00, 3.49 
   RMI,       3,     0.75, 1742.17,       752.22,      8.82,       5.32,          3.00,     498.95, 1500000, 0.43, 1.00, 3.49 
   RMI,       4,     0.75, 1737.15,       755.84,      9.64,       5.89,          3.28,     497.58, 1500000, 0.44, 1.00, 3.49 
   RMI,       5,     0.76, 1761.57,       761.76,     10.92,       6.58,          3.70,     504.54, 1500000, 0.43, 1.00, 3.49 
   RMI,       6,     0.76, 1771.96,       761.99,     12.73,       7.78,          4.04,     507.54, 1500000, 0.43, 1.00, 3.49 
   RMI,       7,     0.83, 1922.83,       790.48,     19.14,      12.38,          5.00,     550.69, 1500000, 0.41, 1.00, 3.49 
   RMI,       8,     1.22, 2833.46,       856.15,     43.99,      31.83,          7.46,     811.58, 1500000, 0.30, 1.00, 3.49 
   RMI,       9,     1.31, 3059.48,       708.42,     53.46,      36.94,          8.28,     876.18, 1500000, 0.23, 1.00, 3.49 
    RS,       1,     0.51, 1181.02,       361.75,     11.19,       6.23,          2.49,     341.41, 1500000, 0.31, 1.00, 3.46 
    RS,       2,     0.53, 1221.84,       372.23,     11.96,       6.64,          3.05,     352.31, 1500000, 0.30, 1.00, 3.47 
    RS,       3,     0.54, 1246.39,       383.88,     13.03,       7.19,          3.17,     360.56, 1500000, 0.31, 1.00, 3.46 
    RS,       4,     0.54, 1239.72,       378.22,     13.67,       7.44,          3.39,     358.16, 1500000, 0.31, 1.00, 3.46 
    RS,       5,     0.56, 1294.73,       393.20,     15.50,       8.55,          3.67,     373.93, 1500000, 0.30, 1.00, 3.46 
    RS,       6,     0.59, 1361.81,       403.15,     17.86,      10.12,          4.09,     392.98, 1500000, 0.30, 1.00, 3.47 
    RS,       7,     0.61, 1405.08,       404.31,     20.61,      12.12,          4.51,     405.56, 1500000, 0.29, 1.00, 3.46 
    RS,       8,     0.66, 1532.59,       415.46,     25.14,      15.12,          4.98,     443.27, 1500000, 0.27, 1.00, 3.46 
    RS,       9,     0.58, 1331.72,       475.78,     21.18,       7.83,          6.44,     384.52, 1500000, 0.36, 1.00, 3.46 
    RS,      10,     0.60, 1380.73,       407.92,     20.37,      11.77,          4.76,     399.76, 1500000, 0.30, 1.00, 3.45 
   PGM,      16,     0.36, 833.67,       301.12,     15.83,       5.81,          4.33,     242.84, 1500000, 0.36, 1.00, 3.43 
   PGM,       4,     0.42, 954.31,       312.98,     16.88,       6.95,          4.95,     277.39, 1500000, 0.33, 1.00, 3.44 
   PGM,       8,     0.38, 871.02,       293.03,     15.12,       6.28,          4.21,     252.55, 1500000, 0.34, 1.00, 3.45 
   PGM,      32,     0.38, 866.81,       307.92,     16.08,       6.78,          4.83,     252.33, 1500000, 0.36, 1.00, 3.44 
   PGM,      64,     0.41, 938.68,       310.02,     16.33,       8.84,          5.19,     272.12, 1500000, 0.33, 1.00, 3.45 
   PGM,     256,     0.50, 1142.37,       329.83,     22.96,      14.82,          5.97,     331.24, 1500000, 0.29, 1.00, 3.45 
   PGM,    1024,     0.59, 1364.93,       321.56,     31.03,      21.83,          6.34,     395.12, 1500000, 0.24, 1.00, 3.45 
   PGM,    2048,     0.66, 1519.86,       329.38,     35.43,      25.71,          6.69,     438.53, 1500000, 0.22, 1.00, 3.47 
   PGM,    4096,     0.73, 1681.43,       343.71,     39.68,      29.21,          6.93,     484.64, 1500000, 0.20, 1.00, 3.47 
   PGM,    8192,     0.81, 1867.26,       353.06,     43.15,      31.34,          8.09,     538.04, 1500000, 0.19, 1.00, 3.47 
 PGMMod,      16,     0.37, 854.03,       309.55,     15.80,       5.80,          4.34,     248.68, 1500000, 0.36, 1.00, 3.43 
 PGMMod,       4,     0.40, 923.12,       312.96,     14.93,       6.62,          4.25,     267.66, 1500000, 0.34, 1.00, 3.45 
 PGMMod,       8,     0.38, 870.60,       293.03,     15.06,       6.23,          4.22,     253.52, 1500000, 0.34, 1.00, 3.43 
 PGMMod,      32,     0.38, 868.06,       307.92,     16.11,       6.79,          5.01,     251.73, 1500000, 0.35, 1.00, 3.45 
 PGMMod,      64,     0.41, 939.87,       310.02,     16.40,       8.85,          5.42,     272.29, 1500000, 0.33, 1.00, 3.45 
 PGMMod,     256,     0.50, 1138.06,       329.83,     22.94,      14.88,          5.89,     330.11, 1500000, 0.29, 1.00, 3.45 
 PGMMod,    1024,     0.59, 1358.20,       321.55,     30.91,      21.75,          6.29,     392.11, 1500000, 0.24, 1.00, 3.46 
 PGMMod,    2048,     0.66, 1522.57,       329.39,     35.59,      25.81,          6.71,     440.14, 1500000, 0.22, 1.00, 3.46 
 PGMMod,    4096,     0.73, 1686.00,       343.72,     39.66,      29.21,          6.97,     485.97, 1500000, 0.20, 1.00, 3.47 
 PGMMod,    8192,     0.80, 1850.18,       353.05,     42.58,      31.22,          7.60,     532.73, 1500000, 0.19, 1.00, 3.47 
 PGMCache,      16,     0.04,  83.65,        62.33,      5.20,       2.11,          0.01,      26.96, 1500000, 0.75, 1.00, 3.10 
 PGMCache,       4,     0.03,  65.56,        53.89,      5.17,       2.08,          0.00,      22.88, 1500000, 0.82, 1.00, 2.86 
 PGMCache,       8,     0.03,  63.97,        53.89,      5.17,       2.14,          0.00,      21.44, 1500000, 0.84, 1.00, 2.98 
 PGMCache,      32,     0.03,  65.55,        53.89,      5.17,       2.10,          0.00,      22.85, 1500000, 0.82, 1.00, 2.87 
 PGMCache,      64,     0.03,  65.56,        53.90,      5.17,       2.08,          0.00,      22.85, 1500000, 0.82, 1.00, 2.87 
 PGMCache,     256,     0.03,  64.00,        53.89,      5.17,       2.14,          0.00,      21.45, 1500000, 0.84, 1.00, 2.98 
 PGMCache,    1024,     0.03,  64.09,        53.90,      5.17,       2.14,          0.00,      21.47, 1500000, 0.84, 1.00, 2.98 
