index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.90, 1567.28,       745.31,      4.63,       3.43,          1.73,     452.14, 2000000, 0.48, 1.00, 3.47 
   RMI,       1,     0.90, 1572.10,       738.69,      4.80,       3.62,          1.95,     450.25, 2000000, 0.47, 1.00, 3.49 
   RMI,       2,     0.90, 1577.98,       741.79,      4.91,       3.75,          2.35,     451.96, 2000000, 0.47, 1.00, 3.49 
   RMI,       3,     0.92, 1610.29,       749.04,      5.28,       4.00,          2.84,     461.19, 2000000, 0.47, 1.00, 3.49 
   RMI,       4,     0.90, 1578.17,       754.33,      5.72,       4.42,          2.58,     452.06, 2000000, 0.48, 1.00, 3.49 
   RMI,       5,     0.91, 1590.79,       761.87,      6.31,       4.94,          2.72,     455.60, 2000000, 0.48, 1.00, 3.49 
   RMI,       6,     0.92, 1601.02,       759.72,      7.31,       5.86,          3.14,     458.55, 2000000, 0.47, 1.00, 3.49 
   RMI,       7,     0.99, 1721.59,       788.34,     11.06,       9.28,          4.45,     493.06, 2000000, 0.46, 1.00, 3.49 
   RMI,       8,     1.35, 2350.56,       856.17,     27.12,      23.80,          5.44,     673.23, 2000000, 0.36, 1.00, 3.49 
   RMI,       9,     1.42, 2485.12,       706.20,     34.18,      27.64,          6.09,     711.75, 2000000, 0.28, 1.00, 3.49 
    RS,       1,     0.59, 1027.76,       361.26,      6.45,       4.72,          2.04,     296.68, 2000000, 0.35, 1.00, 3.46 
    RS,       2,     0.61, 1054.40,       371.21,      6.91,       5.01,          2.45,     304.32, 2000000, 0.35, 1.00, 3.46 
    RS,       3,     0.62, 1074.64,       382.48,      7.35,       5.44,          2.48,     310.11, 2000000, 0.36, 1.00, 3.47 
    RS,       4,     0.62, 1067.60,       377.21,      7.66,       5.62,          2.65,     309.02, 2000000, 0.35, 1.00, 3.45 
    RS,       5,     0.64, 1106.88,       392.68,      8.61,       6.41,          2.85,     319.11, 2000000, 0.35, 1.00, 3.47 
    RS,       6,     0.66, 1141.16,       400.40,      9.87,       7.53,          2.99,     329.43, 2000000, 0.35, 1.00, 3.46 
    RS,       7,     0.68, 1180.87,       403.64,     11.45,       9.06,          3.27,     340.54, 2000000, 0.34, 1.00, 3.47 
    RS,       8,     0.73, 1265.02,       414.90,     14.12,      11.30,          3.74,     365.57, 2000000, 0.33, 1.00, 3.46 
    RS,       9,     0.68, 1168.56,       474.18,     12.45,       5.84,          4.83,     337.91, 2000000, 0.41, 1.00, 3.46 
    RS,      10,     0.68, 1172.47,       407.19,     11.30,       8.76,          3.53,     339.03, 2000000, 0.35, 1.00, 3.46 
   PGM,      16,     0.39, 664.27,       303.09,      9.12,       4.31,          3.20,     193.36, 2000000, 0.46, 1.00, 3.44 
   PGM,       4,     0.44, 751.47,       315.06,      9.74,       5.19,          3.25,     217.53, 2000000, 0.42, 1.00, 3.45 
   PGM,       8,     0.40, 694.24,       295.85,      8.75,       4.70,          3.10,     201.16, 2000000, 0.43, 1.00, 3.45 
   PGM,      32,     0.40, 686.34,       307.21,      9.43,       5.04,          3.57,     198.90, 2000000, 0.45, 1.00, 3.45 
   PGM,      64,     0.43, 749.53,       312.26,      9.97,       6.62,          3.85,     216.92, 2000000, 0.42, 1.00, 3.46 
   PGM,     256,     0.51, 888.27,       329.33,     14.33,      11.10,          4.40,     256.84, 2000000, 0.37, 1.00, 3.46 
   PGM,    1024,     0.61, 1055.16,       323.09,     20.29,      16.37,          4.68,     304.53, 2000000, 0.31, 1.00, 3.46 
   PGM,    2048,     0.67, 1166.01,       332.39,     22.95,      19.23,          4.95,     336.31, 2000000, 0.29, 1.00, 3.47 
   PGM,    4096,     0.74, 1282.55,       343.90,     26.63,      21.84,          5.11,     370.64, 2000000, 0.27, 1.00, 3.46 
   PGM,    8192,     0.82, 1419.99,       351.09,     29.08,      23.48,          5.76,     409.72, 2000000, 0.25, 1.00, 3.47 
 PGMMod,      16,     0.39, 677.17,       309.40,      9.32,       4.31,          3.19,     196.38, 2000000, 0.46, 1.00, 3.45 
 PGMMod,       4,     0.43, 743.56,       315.06,      8.65,       4.98,          3.10,     215.29, 2000000, 0.42, 1.00, 3.45 
 PGMMod,       8,     0.40, 693.17,       295.85,      8.72,       4.66,          3.11,     200.85, 2000000, 0.43, 1.00, 3.45 
 PGMMod,      32,     0.40, 690.58,       307.21,      9.45,       5.07,          3.67,     200.35, 2000000, 0.44, 1.00, 3.45 
 PGMMod,      64,     0.44, 749.52,       312.25,     10.17,       6.64,          4.03,     217.80, 2000000, 0.42, 1.00, 3.44 
 PGMMod,     256,     0.51, 888.75,       329.34,     14.50,      11.12,          4.35,     256.88, 2000000, 0.37, 1.00, 3.46 
 PGMMod,    1024,     0.61, 1055.48,       323.09,     20.56,      16.29,          4.67,     304.75, 2000000, 0.31, 1.00, 3.46 
 PGMMod,    2048,     0.67, 1161.67,       332.39,     22.86,      19.29,          4.93,     335.85, 2000000, 0.29, 1.00, 3.46 
 PGMMod,    4096,     0.76, 1314.65,       343.92,     26.68,      22.00,          5.09,     379.55, 2000000, 0.26, 1.00, 3.46 
 PGMMod,    8192,     0.81, 1407.78,       351.09,     28.49,      23.36,          5.52,     405.40, 2000000, 0.25, 1.00, 3.47 
 PGMCache,      16,     0.04,  64.97,        46.75,      3.90,       1.55,          0.01,      21.84, 2000000, 0.72, 1.00, 2.97 
 PGMCache,       4,     0.03,  47.96,        40.42,      3.88,       1.60,          0.00,      16.19, 2000000, 0.84, 1.00, 2.96 
 PGMCache,       8,     0.03,  48.26,        40.42,      3.88,       1.61,          0.00,      16.05, 2000000, 0.84, 1.00, 3.01 
 PGMCache,      32,     0.03,  49.24,        40.42,      3.88,       1.56,          0.00,      17.32, 2000000, 0.82, 1.00, 2.84 
 PGMCache,      64,     0.03,  49.38,        40.42,      3.88,       1.56,          0.00,      17.19, 2000000, 0.82, 1.00, 2.87 
 PGMCache,     256,     0.03,  48.07,        40.42,      3.88,       1.61,          0.00,      16.11, 2000000, 0.84, 1.00, 2.98 
 PGMCache,    1024,     0.03,  49.21,        40.42,      3.88,       1.56,          0.00,      17.15, 2000000, 0.82, 1.00, 2.87 
 PGMCache,    2048,     0.03,  48.10,        40.42,      3.88,       1.60,          0.00,      16.12, 2000000, 0.84, 1.00, 2.98 
 PGMCache,    4096,     0.03,  49.24,        40.42,      3.88,       1.56,          0.00,      17.16, 2000000, 0.82, 1.00, 2.87 
 PGMCache,    8192,     0.03,  49.25,        40.42,      3.88,       1.56,          0.00,      17.17, 2000000, 0.82, 1.00, 2.87 
 BTree,      32,     0.58, 1014.46,       374.60,     16.52,       7.90,          5.53,     290.55, 2000000, 0.37, 1.00, 3.49 
 BTree,       1,     0.75, 1292.72,       373.89,     19.06,       9.55,          4.86,     373.11, 2000000, 0.29, 1.00, 3.46 
 BTree,       4,     0.65, 1133.39,       370.33,     16.47,       7.87,          5.31,     326.93, 2000000, 0.33, 1.00, 3.47 
 BTree,      16,     0.58, 1021.06,       361.38,     15.63,       7.63,          5.39,     292.42, 2000000, 0.35, 1.00, 3.49 
 BTree,      64,     0.58, 1013.37,       375.43,     17.21,       8.34,          5.73,     290.24, 2000000, 0.37, 1.00, 3.49 
 BTree,     128,     0.58, 1007.43,       380.70,     17.90,       9.34,          5.93,     291.77, 2000000, 0.38, 1.00, 3.45 
 BTree,     512,     0.60, 1049.55,       377.96,     21.55,      12.89,          6.32,     300.60, 2000000, 0.36, 1.00, 3.49 
 BTree,    1024,     0.62, 1078.86,       369.45,     24.26,      15.02,          6.54,     311.36, 2000000, 0.34, 1.00, 3.47 
 BTree,    4096,     0.68, 1185.18,       381.13,     29.28,      19.25,          6.46,     339.43, 2000000, 0.32, 1.00, 3.49 
 BTree,   16384,     0.78, 1351.02,       376.83,     33.75,      23.48,          6.68,     389.03, 2000000, 0.28, 1.00, 3.47 
 BTree,   65536,     0.90, 1570.58,       381.78,     40.90,      27.59,          6.70,     449.79, 2000000, 0.24, 1.00, 3.49 
 BTree,  262144,     0.97, 1699.59,       375.04,     48.32,      30.65,          7.01,     486.76, 2000000, 0.22, 1.00, 3.49 
 FITing,     128,     0.47, 817.14,       369.30,     14.63,       7.79,          5.06,     236.35, 2000000, 0.45, 1.00, 3.46 
 FITing,       8,     0.56, 975.44,       381.54,     14.58,       7.27,          4.75,     282.41, 2000000, 0.39, 1.00, 3.45 
 FITing,      16,     0.54, 927.86,       394.57,     13.99,       6.57,          4.73,     269.11, 2000000, 0.43, 1.00, 3.45 
 FITing,      32,     0.51, 875.37,       369.24,     13.71,       6.49,          4.86,     253.75, 2000000, 0.42, 1.00, 3.45 
 FITing,      64,     0.47, 806.04,       365.97,     13.96,       6.44,          4.78,     234.09, 2000000, 0.45, 1.00, 3.44 
 FITing,     256,     0.50, 858.36,       368.86,     16.61,       9.85,          5.14,     248.03, 2000000, 0.43, 1.00, 3.46 
 FITing,     512,     0.55, 949.08,       368.76,     19.03,      12.32,          5.38,     274.15, 2000000, 0.39, 1.00, 3.46 
 FITing,    1024,     0.61, 1048.07,       378.18,     21.98,      15.24,          5.64,     303.49, 2000000, 0.36, 1.00, 3.45 
